datetime,CLOUDINESS,PREC,PREC_TYPE,TEMP,UMID
2026-08-08T05:00,0,0.0,0,17.0,98
2026-08-08T06:00,0,0.0,0,16.4,98
2026-08-08T07:00,0,0.0,0,16.2,98
2026-08-08T08:00,0,0.0,0,17.1,97
2026-08-08T09:00,0,0.0,0,19.8,89
2026-08-08T10:00,0,0.0,0,24.3,69
2026-08-08T11:00,0,0.0,0,27.4,61
2026-08-08T12:00,0,0.0,0,29.0,42
2026-08-08T13:00,0,0.0,0,29.6,42
2026-08-08T14:00,0,0.0,0,29.7,41
2026-08-08T15:00,0,0.0,0,31.2,38
2026-08-08T16:00,0,0.0,0,30.5,40
2026-08-08T17:00,0,0.0,0,30.9,40
2026-08-08T18:00,0,0.0,0,29.0,52
2026-08-08T19:00,0,0.0,0,26.0,62
2026-08-08T20:00,0,0.0,0,22.7,77
2026-08-08T21:00,0,0.0,0,21.3,88
2026-08-08T22:00,0,0.0,0,19.7,91
2026-08-08T23:00,0,0.0,0,18.9,92
2026-08-09T05:00,0,0.0,0,15.6,96
2026-08-09T06:00,0,0.0,0,15.4,97
2026-08-09T07:00,0,0.0,0,15.4,96
2026-08-09T08:00,0,0.0,0,17.2,92
2026-08-09T09:00,0,0.0,0,21.3,77
2026-08-09T10:00,0,0.0,0,26.1,61
2026-08-09T11:00,0,0.0,0,28.4,49
2026-08-09T12:00,0,0.0,0,29.1,44
2026-08-09T13:00,0,0.0,0,29.9,43
2026-08-09T14:00,0,0.0,0,29.9,42
2026-08-09T15:00,0,0.0,0,31.2,42
2026-08-09T16:00,0,0.0,0,30.9,41
2026-08-09T17:00,0,0.0,0,30.7,42
2026-08-09T18:00,0,0.0,0,30.7,43
2026-08-09T19:00,0,0.0,0,26.9,63
2026-08-09T20:00,0,0.0,0,23.4,79
2026-08-09T21:00,0,0.0,0,21.1,88
2026-08-09T22:00,0,0.0,0,19.7,91
2026-08-09T23:00,0,0.0,0,18.8,94
2026-08-10T05:00,0,0.0,0,16.2,96
2026-08-10T06:00,0,0.0,0,15.7,96
2026-08-10T07:00,0,0.0,0,15.9,95
2026-08-10T08:00,0,0.0,0,17.6,92
2026-08-10T09:00,0,0.0,0,21.7,79
2026-08-10T10:00,0,0.0,0,25.0,68
2026-08-10T11:00,0,0.0,0,27.9,65
2026-08-10T12:00,0,0.0,0,30.9,43
2026-08-10T13:00,0,0.0,0,32.1,41
2026-08-10T14:00,0,0.0,0,32.3,42
2026-08-10T15:00,0,0.0,0,32.5,42
2026-08-10T16:00,0,0.0,0,31.7,45
2026-08-10T17:00,0,0.0,0,31.7,48
2026-08-10T18:00,0,0.0,0,28.4,69
2026-08-10T19:00,0,0.0,0,26.9,75
2026-08-10T20:00,0,0.0,0,24.6,82
2026-08-10T21:00,0,0.0,0,22.6,86
2026-08-10T22:00,0,0.0,0,21.9,89
2026-08-10T23:00,0,0.2,1,21.6,94
2026-08-11T05:00,0,0.0,0,16.1,97
2026-08-11T06:00,0,0.2,1,15.8,98
2026-08-11T07:00,0,0.0,0,15.8,97
2026-08-11T08:00,0,0.0,0,17.5,93
2026-08-11T09:00,0,0.0,0,19.5,89
2026-08-11T10:00,0,0.0,0,26.1,66
2026-08-11T11:00,0,0.0,0,29.9,44
2026-08-11T12:00,0,0.0,0,34.1,28
2026-08-11T13:00,0,0.0,0,34.0,30
2026-08-11T14:00,0,0.0,0,34.3,28
2026-08-11T15:00,0,0.0,0,35.1,29
2026-08-11T16:00,0,0.0,0,34.3,34
2026-08-11T17:00,0,0.0,0,27.1,67
2026-08-11T18:00,0,0.0,0,30.7,41
2026-08-11T19:00,0,0.0,0,25.4,72
2026-08-11T20:00,0,0.0,0,22.7,92
2026-08-11T21:00,0,0.0,0,21.9,90
2026-08-11T22:00,0,0.0,0,21.4,90
2026-08-11T23:00,0,0.0,0,20.7,91
2026-08-12T05:00,0,0.0,0,16.5,96
2026-08-12T06:00,0,0.0,0,16.1,96
2026-08-12T07:00,0,0.0,0,16.1,96
2026-08-12T08:00,0,0.0,0,18.1,91
2026-08-12T09:00,0,0.0,0,22.4,74
2026-08-12T10:00,0,0.0,0,27.2,61
2026-08-12T11:00,0,0.0,0,29.9,42
2026-08-12T12:00,0,0.0,0,31.8,38
2026-08-12T13:00,0,0.0,0,31.5,38
2026-08-12T14:00,0,0.0,0,31.7,36
2026-08-12T15:00,0,0.0,0,33.1,33
2026-08-12T16:00,0,0.0,0,33.5,32
2026-08-12T17:00,0,0.0,0,33.1,33
2026-08-12T18:00,0,0.0,0,32.3,37
2026-08-12T19:00,0,0.0,0,26.1,59
2026-08-12T20:00,0,0.0,0,22.8,76
2026-08-12T21:00,0,0.0,0,20.7,81
2026-08-12T22:00,0,0.0,0,20.6,80
2026-08-12T23:00,0,0.0,0,19.4,85
2026-08-13T05:00,0,0.0,0,15.1,94
2026-08-13T06:00,0,0.0,0,14.8,95
2026-08-13T07:00,0,0.0,0,14.9,94
2026-08-13T08:00,0,0.0,0,16.9,88
2026-08-13T09:00,0,0.0,0,21.5,69
2026-08-13T10:00,0,0.0,0,26.5,55
2026-08-13T11:00,0,0.0,0,29.9,41
2026-08-13T12:00,0,0.0,0,29.7,42
2026-08-13T13:00,0,0.0,0,30.3,38
2026-08-13T14:00,0,0.0,0,31.2,35
2026-08-13T15:00,0,0.0,0,31.8,33
2026-08-13T16:00,0,0.0,0,32.1,32
2026-08-13T17:00,0,0.0,0,32.4,31
2026-08-13T18:00,0,0.0,0,31.8,36
2026-08-13T19:00,0,0.0,0,27.3,54
2026-08-13T20:00,0,0.0,0,23.7,71
2026-08-13T21:00,0,0.0,0,20.9,78
2026-08-13T22:00,0,0.0,0,19.3,82
2026-08-13T23:00,0,0.0,0,18.1,85
2026-08-14T05:00,0,0.0,0,14.0,93
2026-08-14T06:00,0,0.0,0,13.5,94
2026-08-14T07:00,0,0.0,0,13.6,94
2026-08-14T08:00,0,0.0,0,15.4,89
2026-08-14T09:00,0,0.0,0,20.5,69
2026-08-14T10:00,0,0.0,0,25.8,54
2026-08-14T11:00,0,0.0,0,27.9,37
2026-08-14T12:00,0,0.0,0,29.7,35
2026-08-14T13:00,0,0.0,0,31.0,34
2026-08-14T14:00,0,0.0,0,30.6,36
2026-08-14T15:00,0,0.0,0,31.5,33
2026-08-14T16:00,0,0.0,0,31.2,31
2026-08-14T17:00,0,0.0,0,31.2,32
2026-08-14T18:00,0,0.0,0,30.7,32
2026-08-14T19:00,0,0.0,0,28.1,40
2026-08-14T20:00,0,0.0,0,23.3,64
2026-08-14T21:00,0,0.0,0,20.2,77
2026-08-14T22:00,0,0.0,0,18.4,81
2026-08-14T23:00,0,0.0,0,17.1,84
2026-08-15T05:00,0,0.0,0,13.2,93
2026-08-15T06:00,0,0.0,0,12.8,93
2026-08-15T07:00,0,0.0,0,12.8,93
2026-08-15T08:00,0,0.0,0,14.9,87
2026-08-15T09:00,0,0.0,0,19.7,67
2026-08-15T10:00,0,0.0,0,25.8,51
2026-08-15T11:00,0,0.0,0,29.3,32
2026-08-15T12:00,0,0.0,0,31.2,27
2026-08-15T13:00,0,0.0,0,30.4,28
2026-08-15T14:00,0,0.0,0,31.2,28
2026-08-15T15:00,0,0.0,0,32.6,27
2026-08-15T16:00,0,0.0,0,31.7,28
2026-08-15T17:00,0,0.0,0,32.0,30
2026-08-15T18:00,0,0.0,0,31.9,29
2026-08-15T19:00,0,0.0,0,26.0,56
