datetime,CLOUDINESS,PREC,PREC_TYPE,PRESS,RADSOL,TEMP,UMID,VVENTOSCAL
2026-08-14T11:00,1,0.0,0,922.6,2213,24.0,46,8
2026-08-14T12:00,2,0.0,0,922.3,2105,25.3,41,11
2026-08-14T13:00,1,0.0,0,916.6,2722,26.8,41,13
2026-08-14T14:00,1,0.0,0,921.1,3072,27.8,39,11
2026-08-14T15:00,1,0.0,0,920.7,2864,27.8,39,5
2026-08-14T16:00,1,0.0,0,920.2,2462,28.8,37,6
2026-08-14T17:00,1,0.0,0,920.1,1946,28.3,36,8
2026-08-14T18:00,1,0.0,0,919.9,1347,27.9,36,6
2026-08-14T19:00,5,0.0,0,920.1,193,26.1,42,6
2026-08-14T20:00,0,0.0,0,920.6,82,24.7,44,4
2026-08-14T21:00,0,0.0,0,921.2,4,23.2,49,2
2026-08-14T22:00,0,0.0,0,921.6,0,22.1,53,1
2026-08-14T23:00,0,0.0,0,921.7,0,21.4,54,3
2026-08-15T05:00,0,0.0,0,921.1,0,17.4,61,1
2026-08-15T06:00,0,0.0,0,920.9,0,16.8,65,1
2026-08-15T07:00,3,0.0,0,920.7,130,17.0,66,1
2026-08-15T08:00,1,0.0,0,920.5,802,18.0,68,2
2026-08-15T11:00,1,0.0,0,919.3,2240,24.6,41,8
2026-08-15T12:00,2,0.0,0,919.2,2093,25.8,35,8
2026-08-15T13:00,1,0.0,0,918.8,2732,27.8,34,10
2026-08-15T14:00,1,0.0,0,918.7,3083,28.3,32,7
2026-08-15T15:00,1,0.0,0,918.4,2908,28.7,32,6
2026-08-15T16:00,1,0.0,0,918.0,2497,29.2,30,8
2026-08-15T17:00,1,0.0,0,918.0,1964,29.1,31,5
2026-08-15T18:00,2,0.0,0,918.3,1176,27.5,33,5
2026-08-15T19:00,4,0.0,0,918.1,294,26.7,34,6
2026-08-15T20:00,0,0.0,0,918.5,81,25.5,39,4
2026-08-15T21:00,0,0.0,0,919.0,0,23.5,44,3
2026-08-15T22:00,0,0.0,0,919.5,0,22.4,48,3
