datetime,CLOUDINESS,DVENTO,DVENTOMAX,PREC,PREC_TYPE,TEMP,UMID,VVENTO,VVENTOSCAL
2026-08-06T22:00,0,134,182,0.0,0,19.6,62,4,6
2026-08-06T23:00,0,134,124,3.6,1,15.0,83,21,19
2026-08-07T05:00,0,13,44,0.0,0,15.0,66,2,4
2026-08-07T06:00,0,45,55,0.0,0,15.8,60,4,5
2026-08-07T07:00,0,57,68,0.0,0,16.0,59,3,2
2026-08-07T08:00,0,338,70,0.0,0,17.9,47,3,4
2026-08-07T09:00,0,57,62,0.0,0,16.3,58,4,4
2026-08-07T10:00,0,97,95,0.0,0,18.0,56,6,5
2026-08-07T11:00,0,157,208,0.0,0,19.1,55,4,4
2026-08-07T12:00,0,142,229,0.0,0,19.9,48,7,7
2026-08-07T13:00,0,233,239,0.0,0,20.7,52,5,6
2026-08-07T14:00,0,212,227,0.0,0,20.8,53,6,6
2026-08-07T15:00,0,259,277,0.0,0,20.0,54,5,6
2026-08-07T16:00,0,226,204,0.0,0,20.3,58,4,5
2026-08-07T17:00,0,274,233,0.0,0,19.9,61,4,5
2026-08-07T18:00,0,244,235,0.0,0,20.4,56,4,6
2026-08-07T19:00,0,245,210,0.0,0,19.9,60,5,5
2026-08-07T20:00,0,348,168,0.0,0,18.5,63,0,2
2026-08-07T21:00,0,83,71,0.0,0,18.3,62,2,4
2026-08-07T22:00,0,218,143,0.0,0,17.1,69,0,3
2026-08-07T23:00,0,130,40,0.0,0,17.2,61,6,5
2026-08-08T05:00,0,60,39,0.0,0,15.0,77,5,5
2026-08-08T06:00,0,73,89,0.0,0,14.7,77,4,3
2026-08-08T07:00,0,51,53,0.0,0,15.2,73,4,4
2026-08-08T08:00,0,48,44,0.0,0,14.9,71,4,4
2026-08-08T09:00,0,84,53,0.0,0,14.9,67,6,6
2026-08-08T10:00,0,85,56,0.0,0,17.5,56,3,5
2026-08-08T11:00,0,200,220,0.0,0,19.1,56,5,5
2026-08-08T12:00,0,280,200,0.0,0,17.3,63,1,4
2026-08-08T13:00,0,232,218,0.0,0,19.6,58,6,7
2026-08-08T14:00,0,232,223,0.0,0,20.6,54,12,10
2026-08-08T15:00,0,205,226,0.0,0,20.3,54,7,11
2026-08-08T16:00,0,220,216,0.0,0,17.9,66,4,5
2026-08-08T17:00,0,208,213,0.0,0,18.8,62,8,7
2026-08-08T18:00,0,242,204,0.0,0,19.6,61,6,4
2026-08-08T19:00,0,43,230,0.0,0,17.9,67,1,1
2026-08-08T20:00,0,0,212,0.0,0,16.7,70,0,1
2026-08-08T21:00,0,86,109,0.0,0,16.2,71,4,6
2026-08-08T22:00,0,224,77,0.0,0,15.9,72,1,3
2026-08-08T23:00,0,356,65,0.0,0,15.5,74,2,2
2026-08-09T05:00,0,22,55,0.0,0,14.4,78,2,2
2026-08-09T06:00,0,86,85,0.0,0,15.2,74,6,4
2026-08-09T07:00,0,54,76,0.0,0,15.0,75,3,3
2026-08-09T08:00,0,58,57,0.0,0,15.2,74,5,4
2026-08-09T09:00,0,52,75,0.0,0,15.4,74,1,3
2026-08-09T10:00,0,146,65,0.0,0,17.1,69,1,3
2026-08-09T11:00,0,151,170,0.0,0,18.6,68,5,3
2026-08-09T12:00,0,217,194,0.0,0,18.9,64,9,8
2026-08-09T13:00,0,188,160,0.0,0,20.3,65,10,8
2026-08-09T14:00,0,212,228,0.0,0,21.3,60,12,12
2026-08-09T15:00,0,226,207,0.0,0,21.4,61,3,6
2026-08-09T16:00,0,201,243,0.0,0,21.7,59,8,9
2026-08-09T17:00,0,241,142,0.0,0,21.7,60,5,6
2026-08-09T18:00,0,212,176,0.0,0,21.1,59,2,7
2026-08-09T19:00,0,16,215,0.0,0,20.0,62,3,4
2026-08-09T20:00,0,0,242,0.0,0,18.0,69,0,1
2026-08-09T21:00,0,21,13,0.0,0,17.3,72,1,2
2026-08-09T22:00,0,0,22,0.0,0,16.8,75,0,1
2026-08-09T23:00,0,154,54,0.0,0,17.0,73,0,2
2026-08-10T05:00,0,32,67,0.0,0,16.1,64,1,3
2026-08-10T06:00,0,54,53,0.0,0,16.5,61,4,3
2026-08-10T07:00,0,36,63,0.0,0,17.0,58,2,3
2026-08-10T08:00,0,48,62,0.0,0,16.9,59,1,1
2026-08-10T09:00,0,55,54,0.0,0,17.3,58,1,1
2026-08-10T10:00,0,152,140,0.0,0,18.3,61,1,0
2026-08-10T11:00,0,208,194,0.0,0,19.5,54,1,3
2026-08-10T12:00,0,209,163,0.0,0,19.9,55,4,4
2026-08-10T13:00,0,230,170,0.0,0,21.9,54,10,8
2026-08-10T14:00,0,224,202,0.0,0,22.8,50,4,5
2026-08-10T15:00,0,165,199,0.0,0,22.7,54,3,4
2026-08-10T16:00,0,58,198,0.0,0,23.1,51,2,4
2026-08-10T17:00,0,236,200,0.0,0,21.9,55,3,5
2026-08-10T18:00,0,235,251,0.0,0,20.5,61,2,4
2026-08-10T19:00,0,251,220,0.0,0,19.4,68,4,3
2026-08-10T20:00,0,208,248,0.0,0,18.4,74,3,3
2026-08-10T21:00,0,147,86,0.0,0,18.3,74,0,2
2026-08-10T22:00,0,357,14,0.0,0,18.3,69,11,13
2026-08-10T23:00,0,135,42,0.0,0,18.1,68,2,2
2026-08-11T05:00,0,40,67,0.0,0,17.6,51,3,3
2026-08-11T06:00,0,64,75,0.0,0,17.8,49,4,3
2026-08-11T07:00,0,57,87,0.0,0,18.3,46,4,4
2026-08-11T08:00,0,63,73,0.0,0,18.9,44,4,5
2026-08-11T09:00,0,65,46,0.0,0,18.5,48,7,4
2026-08-11T10:00,0,89,32,0.0,0,20.1,40,4,4
2026-08-11T11:00,0,211,166,0.0,0,22.4,40,4,5
2026-08-11T12:00,0,230,201,0.0,0,22.0,37,4,7
2026-08-11T13:00,0,187,202,0.0,0,21.8,42,4,6
2026-08-11T14:00,0,221,198,0.0,0,22.2,43,8,11
2026-08-11T15:00,0,213,255,0.0,0,21.4,48,6,9
2026-08-11T16:00,0,145,255,0.0,0,20.2,52,5,5
2026-08-11T17:00,0,11,48,0.0,0,20.7,57,4,6
2026-08-11T18:00,0,243,251,0.0,0,20.6,58,1,3
2026-08-11T19:00,0,75,307,1.0,1,18.6,46,9,8
2026-08-11T20:00,0,7,350,1.4,1,17.9,48,8,7
2026-08-11T21:00,0,121,71,0.0,0,17.3,52,0,7
2026-08-11T22:00,0,57,48,0.0,0,17.6,51,6,7
2026-08-11T23:00,0,79,76,0.0,0,17.4,53,9,7
2026-08-12T05:00,0,63,53,0.0,0,16.7,61,4,4
2026-08-12T06:00,0,50,52,0.0,0,16.2,64,5,5
2026-08-12T07:00,0,40,56,0.0,0,16.3,64,4,4
2026-08-12T08:00,0,63,66,0.0,0,16.4,64,6,6
2026-08-12T09:00,0,65,45,0.0,0,16.6,64,7,7
2026-08-12T10:00,0,88,75,0.0,0,18.5,57,5,6
2026-08-12T11:00,0,102,139,0.0,0,18.1,60,0,1
2026-08-12T12:00,0,133,124,0.0,0,19.4,57,5,4
2026-08-12T13:00,0,189,211,0.0,0,22.0,51,8,9
2026-08-12T14:00,0,220,212,0.0,0,21.9,49,7,9
2026-08-12T15:00,0,238,227,0.0,0,22.7,50,9,8
2026-08-12T16:00,0,281,227,0.0,0,22.3,51,4,6
2026-08-12T17:00,0,207,224,0.0,0,22.1,51,8,8
2026-08-12T18:00,0,245,214,0.0,0,21.2,54,5,6
2026-08-12T19:00,0,300,204,0.0,0,20.1,56,3,3
2026-08-12T20:00,0,316,262,0.0,0,18.6,60,1,1
2026-08-12T21:00,0,67,77,0.0,0,17.8,63,1,2
2026-08-12T22:00,0,120,116,0.0,0,18.0,60,6,5
2026-08-12T23:00,0,71,89,0.0,0,17.3,57,5,9
2026-08-13T05:00,0,61,59,0.0,0,16.8,60,2,3
2026-08-13T06:00,0,0,38,0.0,0,16.5,61,0,0
2026-08-13T07:00,0,33,61,0.0,0,16.5,63,1,2
2026-08-13T08:00,0,33,53,0.0,0,16.5,65,1,1
2026-08-13T09:00,0,344,40,0.0,0,16.5,66,0,1
2026-08-13T10:00,0,129,108,0.0,0,18.1,60,3,3
2026-08-13T11:00,0,184,203,0.0,0,19.4,60,3,4
2026-08-13T12:00,0,160,196,0.0,0,20.5,62,3,3
2026-08-13T13:00,0,220,198,0.0,0,22.3,54,6,6
2026-08-13T14:00,0,205,223,0.0,0,22.9,51,9,8
2026-08-13T15:00,0,164,228,0.0,0,22.5,50,4,7
2026-08-13T16:00,0,174,193,0.0,0,23.2,48,4,8
2026-08-13T17:00,0,229,278,0.0,0,21.9,50,8,8
2026-08-13T18:00,0,236,256,0.0,0,21.4,53,8,9
2026-08-13T19:00,0,325,273,0.0,0,20.4,54,1,3
2026-08-13T20:00,0,0,212,0.0,0,18.6,59,1,1
2026-08-13T21:00,0,25,20,0.0,0,17.9,59,1,1
2026-08-13T22:00,0,86,52,0.0,0,17.1,62,2,2
2026-08-13T23:00,0,69,91,0.0,0,17.3,55,3,3
2026-08-14T05:00,0,57,62,0.0,0,15.3,61,1,1
2026-08-14T06:00,0,0,94,0.0,0,15.0,61,0,0
2026-08-14T07:00,0,39,13,0.0,0,15.3,65,1,1
2026-08-14T08:00,0,0,39,0.0,0,14.9,67,0,0
2026-08-14T09:00,0,0,74,0.0,0,15.5,62,0,0
2026-08-14T10:00,0,153,153,0.0,0,18.0,60,1,1
2026-08-14T11:00,0,167,189,0.0,0,19.0,57,3,4
2026-08-14T12:00,0,177,206,0.0,0,20.4,53,4,6
2026-08-14T13:00,0,194,200,0.0,0,20.9,49,10,9
2026-08-14T14:00,0,188,219,0.0,0,22.5,49,5,5
2026-08-14T15:00,0,196,222,0.0,0,22.1,46,10,8
2026-08-14T16:00,0,190,254,0.0,0,22.4,45,6,8
2026-08-14T17:00,0,236,203,0.0,0,22.3,44,8,5
2026-08-14T18:00,0,254,269,0.0,0,21.2,47,3,7
2026-08-14T19:00,0,245,249,0.0,0,20.2,48,1,3
2026-08-14T20:00,0,357,289,0.0,0,18.0,54,3,2
2026-08-14T21:00,0,67,59,0.0,0,17.3,56,1,2
2026-08-14T22:00,0,33,56,0.0,0,17.0,56,3,3
2026-08-14T23:00,0,53,19,0.0,0,17.0,53,1,3
