datetime,CLOUDINESS,DVENTO,DVENTOMAX,PREC,PREC_TYPE,TEMP,UMID,VVENTO,VVENTOSCAL
2026-08-14T11:00,0,208,224,0.0,0,17.4,66,3,3
2026-08-14T12:00,0,197,167,0.0,0,17.9,58,5,5
2026-08-14T13:00,0,202,194,0.0,0,19.0,56,8,7
2026-08-14T14:00,0,223,234,0.0,0,20.3,50,10,9
2026-08-14T15:00,0,222,195,0.0,0,20.8,47,10,10
2026-08-14T16:00,0,222,218,0.0,0,21.4,45,10,10
2026-08-14T17:00,0,231,176,0.0,0,21.5,44,9,9
2026-08-14T18:00,0,236,265,0.0,0,21.0,47,8,9
2026-08-14T19:00,0,241,189,0.0,0,20.3,47,7,8
2026-08-14T20:00,0,281,280,0.0,0,18.3,54,3,4
2026-08-14T21:00,0,16,8,0.0,0,17.6,55,4,3
2026-08-14T22:00,0,26,266,0.0,0,17.2,57,0,2
2026-08-14T23:00,0,224,132,0.0,0,16.8,58,1,2
2026-08-15T05:00,0,59,218,0.0,0,15.6,53,0,1
2026-08-15T06:00,0,125,43,0.0,0,15.9,51,0,1
2026-08-15T07:00,0,12,44,0.0,0,16.2,50,1,1
2026-08-15T08:00,0,89,45,0.0,0,16.2,51,0,1
2026-08-15T09:00,0,,24,0.0,0,16.4,51,,0
2026-08-15T10:00,0,187,194,0.0,0,17.8,45,1,0
2026-08-15T11:00,0,197,224,0.0,0,18.1,51,4,3
2026-08-15T12:00,0,199,188,0.0,0,18.9,49,6,5
2026-08-15T13:00,0,229,153,0.0,0,19.8,47,7,7
2026-08-15T14:00,0,219,185,0.0,0,21.1,46,10,10
2026-08-15T15:00,0,216,197,0.0,0,21.1,43,10,10
2026-08-15T16:00,0,237,260,0.0,0,21.3,43,10,11
2026-08-15T17:00,0,235,260,0.0,0,21.7,40,10,10
2026-08-15T18:00,0,234,237,0.0,0,20.8,42,10,11
2026-08-15T19:00,0,225,209,0.0,0,19.9,45,8,9
2026-08-15T20:00,0,222,201,0.0,0,18.3,49,7,7
2026-08-15T21:00,0,194,249,0.0,0,17.8,48,6,6
2026-08-15T22:00,0,186,101,0.0,0,18.4,43,6,6
2026-08-15T23:00,0,146,129,0.0,0,18.5,42,8,6
2026-08-16T05:00,0,280,188,0.0,0,17.3,41,1,3
2026-08-16T06:00,0,271,29,0.0,0,17.2,42,0,1
2026-08-16T07:00,0,128,135,0.0,0,17.4,42,1,2
2026-08-16T08:00,0,159,41,0.0,0,18.1,39,1,1
2026-08-16T09:00,0,37,31,0.0,0,18.0,42,1,1
2026-08-16T10:00,0,190,191,0.0,0,18.9,38,3,2
2026-08-16T11:00,0,220,155,0.0,0,19.0,46,4,4
2026-08-16T12:00,0,225,173,0.0,0,19.2,46,6,6
2026-08-16T13:00,0,215,187,0.0,0,20.3,45,9,9
2026-08-16T14:00,0,225,184,0.0,0,19.9,51,9,9
2026-08-16T15:00,0,230,235,0.0,0,20.4,50,11,10
2026-08-16T16:00,0,220,206,0.0,0,20.9,50,10,10
2026-08-16T17:00,0,241,257,0.0,0,18.8,58,8,9
2026-08-16T18:00,0,205,164,0.0,0,18.1,62,7,7
2026-08-16T19:00,0,228,223,0.0,0,17.6,65,4,4
2026-08-16T20:00,0,325,325,0.0,0,16.4,61,3,5
2026-08-16T21:00,0,26,348,0.0,0,16.9,63,4,6
2026-08-16T22:00,0,22,22,0.0,0,18.0,40,8,9
2026-08-16T23:00,0,189,130,0.0,0,16.2,55,2,4
2026-08-17T05:00,0,160,206,0.0,0,15.6,63,6,8
2026-08-17T06:00,0,188,156,0.0,0,15.1,66,14,12
2026-08-17T07:00,0,173,193,0.0,0,15.0,68,5,6
2026-08-17T08:00,0,40,168,0.0,0,15.6,65,2,2
2026-08-17T09:00,0,195,193,0.0,0,15.1,67,1,1
2026-08-17T10:00,0,204,175,0.0,0,14.4,71,3,4
2026-08-17T11:00,0,264,217,0.0,0,14.8,75,1,2
2026-08-17T12:00,0,202,175,0.0,0,15.4,74,4,3
2026-08-17T13:00,0,220,214,0.0,0,15.7,75,6,6
2026-08-17T14:00,0,204,194,0.0,0,15.2,73,8,7
2026-08-17T15:00,0,246,220,0.0,0,15.8,72,9,8
2026-08-17T16:00,0,241,217,0.0,0,15.6,76,10,11
2026-08-17T17:00,0,217,244,0.4,1,13.6,91,17,14
2026-08-17T18:00,0,185,183,11.6,1,12.1,99,2,10
2026-08-17T19:00,0,53,39,0.4,1,11.4,99,8,5
2026-08-17T20:00,0,29,56,0.0,0,12.4,95,10,12
2026-08-17T21:00,0,35,50,0.0,0,12.9,76,7,8
2026-08-17T22:00,0,36,33,0.0,0,12.4,77,18,17
2026-08-17T23:00,0,24,63,0.0,0,13.2,68,10,13
2026-08-18T05:00,0,21,334,0.0,0,13.2,52,5,7
2026-08-18T06:00,0,321,318,0.0,0,13.3,50,3,4
2026-08-18T07:00,0,180,146,0.0,0,13.7,46,4,4
2026-08-18T08:00,0,176,169,0.0,0,11.7,72,5,4
2026-08-18T09:00,0,214,259,0.0,0,11.8,78,4,4
2026-08-18T10:00,0,208,207,0.0,0,12.1,81,7,6
2026-08-18T11:00,0,230,266,0.0,0,11.9,97,9,9
2026-08-18T12:00,0,238,260,0.0,0,13.0,79,9,9
2026-08-18T13:00,0,233,268,0.0,0,13.8,71,10,11
2026-08-18T14:00,0,234,265,0.0,0,14.9,68,11,10
2026-08-18T15:00,0,234,184,0.0,0,15.5,66,13,13
2026-08-18T16:00,0,228,225,0.0,0,15.2,67,14,14
2026-08-18T17:00,0,239,241,0.0,0,15.4,68,14,14
2026-08-18T18:00,0,244,217,0.0,0,14.9,72,12,13
2026-08-18T19:00,0,248,238,0.0,0,14.0,81,7,9
2026-08-18T20:00,0,53,39,0.2,1,13.5,85,8,7
2026-08-18T21:00,0,11,13,7.0,1,12.6,77,11,10
2026-08-18T22:00,0,39,51,0.0,0,13.6,68,10,9
2026-08-18T23:00,0,49,39,0.2,1,13.3,69,14,13
2026-08-19T05:00,0,170,171,0.0,0,13.5,64,4,3
2026-08-19T06:00,0,172,126,0.0,0,13.4,71,5,5
2026-08-19T07:00,0,173,158,0.0,0,13.9,72,5,4
2026-08-19T08:00,0,170,143,0.0,0,13.9,80,8,6
2026-08-19T09:00,0,205,203,0.0,0,14.2,79,9,8
2026-08-19T10:00,0,210,197,0.0,0,14.9,71,6,8
2026-08-19T11:00,0,222,225,0.0,0,14.7,72,8,7
2026-08-19T12:00,0,228,280,0.0,0,15.0,78,7,7
2026-08-19T13:00,0,241,227,0.0,0,14.8,87,10,10
2026-08-19T14:00,0,242,225,0.0,0,15.7,83,11,11
2026-08-19T15:00,0,240,227,0.0,0,16.7,78,12,12
2026-08-19T16:00,0,251,234,0.0,0,16.0,83,13,13
2026-08-19T17:00,0,248,272,0.0,0,16.1,87,11,12
2026-08-19T18:00,0,238,196,0.0,0,15.5,92,8,9
2026-08-19T19:00,0,224,246,0.0,0,15.2,94,9,9
2026-08-19T20:00,0,226,178,0.0,0,15.0,97,8,8
2026-08-19T21:00,0,209,272,0.0,0,14.7,99,8,8
2026-08-19T22:00,0,199,176,0.0,0,14.4,98,11,10
2026-08-19T23:00,0,176,160,0.0,0,14.5,98,16,16
2026-08-20T05:00,0,178,159,0.0,0,15.6,75,8,9
2026-08-20T06:00,0,198,165,0.0,0,15.5,72,13,13
2026-08-20T07:00,0,185,139,0.0,0,15.2,80,9,10
2026-08-20T08:00,0,162,175,0.0,0,16.2,79,17,15
2026-08-20T09:00,0,177,154,0.0,0,16.0,78,12,13
2026-08-20T11:00,0,206,169,0.0,0,16.6,83,8,8
2026-08-20T12:00,0,245,238,0.0,0,15.9,93,8,8
2026-08-20T13:00,0,205,265,0.0,0,16.3,92,6,6
2026-08-20T14:00,0,258,231,0.0,0,15.9,97,11,10
2026-08-20T15:00,0,241,161,7.5,1,14.7,99,15,14
2026-08-20T16:00,0,231,216,11.8,1,13.4,99,19,16
