datetime,BAGNATURA,CLOUDINESS,DVENTO,DVENTOMAX,PREC,PREC_TYPE,PRESS,RADSOL,TEMP,UMID,VVENTO,VVENTOSCAL
2026-08-14T11:00,0,1,164,44,0.0,0,1017.7,2432,32.2,27,4,5
2026-08-14T12:00,0,1,65,147,0.0,0,1017.2,,33.9,26,3,5
2026-08-14T13:00,0,1,130,155,0.0,0,1016.4,2989,34.7,24,4,7
2026-08-14T14:00,0,1,263,271,0.0,0,1015.6,2990,33.9,30,17,14
2026-08-14T15:00,0,1,257,275,0.0,0,1014.9,2853,34.2,31,19,19
2026-08-14T16:00,0,1,259,254,0.0,0,1014.3,2496,34.1,34,18,18
2026-08-14T17:00,0,1,278,257,0.0,0,1013.8,2043,34.7,34,14,18
2026-08-14T18:00,4,1,271,258,0.0,0,1013.3,1442,34.1,37,12,15
2026-08-14T19:00,2,1,248,260,0.0,0,1013.5,825,31.7,55,11,13
2026-08-14T20:00,60,1,204,247,0.0,0,1013.8,267,27.8,68,7,8
2026-08-14T21:00,60,1,199,199,0.0,0,1014.5,5,25.6,78,9,8
2026-08-14T22:00,60,1,40,60,0.0,0,1015.1,0,24.2,81,9,8
2026-08-14T23:00,60,1,89,93,0.0,0,1015.4,0,24.6,88,9,8
2026-08-15T05:00,59,1,1,6,0.0,0,1015.4,0,20.2,65,8,5
2026-08-15T06:00,1,1,30,14,0.0,0,1015.3,0,21.2,56,12,12
2026-08-15T07:00,0,3,22,38,0.0,0,1015.2,122,21.7,58,12,11
2026-08-15T08:00,0,2,30,13,0.0,0,1014.8,591,24.5,54,8,9
2026-08-15T09:00,0,1,14,32,0.0,0,1014.5,1186,28.1,40,8,8
2026-08-15T10:00,0,1,12,27,0.0,0,1014.2,1842,30.2,34,6,8
2026-08-15T11:00,0,1,0,325,0.0,0,1013.8,2385,32.7,26,1,5
2026-08-15T12:00,0,1,259,260,0.0,0,1013.4,2741,33.3,29,9,6
2026-08-15T13:00,0,1,239,231,0.0,0,1013.1,2923,34.0,26,12,10
2026-08-15T14:00,0,1,242,243,0.0,0,1013.0,2931,33.7,36,15,14
2026-08-15T15:00,0,1,241,237,0.0,0,1012.6,2795,33.6,36,17,17
2026-08-15T16:00,0,1,237,229,0.0,0,1012.3,2497,32.7,40,19,18
2026-08-15T17:00,0,1,232,226,0.0,0,1012.1,2023,32.8,45,14,17
2026-08-15T18:00,0,1,239,234,0.0,0,1012.0,1436,31.5,46,15,15
2026-08-15T19:00,0,1,200,230,0.0,0,1012.0,824,29.6,61,12,12
2026-08-15T20:00,12,1,187,201,0.0,0,1012.0,241,27.1,65,5,10
2026-08-15T21:00,60,1,60,68,0.0,0,1012.8,2,24.0,75,7,5
2026-08-15T22:00,60,1,107,68,0.0,0,1013.2,0,24.4,82,7,7
2026-08-15T23:00,60,1,84,70,0.0,0,1013.4,0,23.5,76,6,7
2026-08-16T05:00,60,1,350,350,0.0,0,1013.5,0,17.9,83,5,4
2026-08-16T06:00,60,1,36,17,0.0,0,1013.3,0,17.4,79,5,5
2026-08-16T07:00,60,3,22,25,0.0,0,1013.3,112,18.7,79,4,4
