datetime,BAGNATURA,CLOUDINESS,DVENTO,DVENTOMAX,PREC,PREC_TYPE,TEMP,UMID,VVENTO,VVENTOSCAL
2026-08-21T07:00,60,4,340,347,0.0,0,18.7,99,3,3
2026-08-21T08:00,60,5,331,343,0.0,0,20.6,96,4,4
2026-08-21T09:00,40,5,20,18,0.0,0,23.1,84,7,6
2026-08-21T11:00,7,5,261,239,0.0,0,24.7,80,3,3
2026-08-21T12:00,0,5,252,253,0.0,0,26.3,73,5,5
2026-08-21T13:00,3,5,20,225,0.0,0,25.9,72,4,4
2026-08-21T14:00,48,4,219,230,3.0,1,23.8,88,4,6
2026-08-21T15:00,60,4,19,230,23.4,1,20.7,98,7,10
2026-08-21T16:00,38,5,1,40,0.0,0,21.3,96,7,9
2026-08-21T17:00,58,5,11,220,7.4,1,20.5,99,3,7
2026-08-21T18:00,60,5,88,112,0.6,1,20.0,99,13,11
2026-08-21T19:00,60,4,94,95,0.0,0,20.5,99,7,9
2026-08-21T20:00,60,4,54,89,0.0,0,19.8,97,6,8
2026-08-21T21:00,39,1,15,40,0.0,0,19.6,97,4,6
2026-08-22T07:00,60,5,339,343,0.0,0,18.4,98,4,4
2026-08-22T08:00,60,5,318,309,0.2,1,19.3,96,4,4
2026-08-22T09:00,48,5,327,309,0.0,0,21.3,90,4,4
2026-08-22T10:00,0,4,344,3,0.0,0,22.7,78,6,6
2026-08-22T11:00,0,4,358,3,0.0,0,23.9,71,8,9
2026-08-22T12:00,0,4,356,28,0.0,0,25.4,66,4,6
2026-08-22T13:00,0,4,63,63,0.0,0,24.4,73,16,11
2026-08-22T14:00,4,3,57,60,0.0,0,26.1,59,15,16
2026-08-22T15:00,0,2,77,41,0.0,0,26.2,55,15,15
2026-08-22T16:00,0,3,72,78,0.0,0,26.5,54,14,14
2026-08-22T17:00,0,3,51,63,0.0,0,26.3,56,10,12
2026-08-22T18:00,0,3,34,44,0.0,0,25.8,53,12,10
2026-08-22T20:00,8,5,13,2,0.0,0,23.1,58,9,10
2026-08-22T21:00,0,1,7,11,0.0,0,22.8,60,11,11
2026-08-23T07:00,0,2,328,327,0.0,0,20.3,62,5,5
2026-08-23T08:00,0,1,351,13,0.0,0,22.7,54,8,7
2026-08-23T09:00,0,1,19,9,0.0,0,24.0,50,21,15
2026-08-23T10:00,0,1,13,39,0.0,0,24.7,49,17,18
2026-08-23T12:00,0,1,4,38,0.0,0,25.7,48,15,16
2026-08-23T13:00,0,1,21,13,0.0,0,26.5,46,14,14
2026-08-23T14:00,0,2,64,13,0.0,0,28.0,43,10,13
2026-08-23T15:00,0,2,41,45,0.0,0,28.1,42,7,11
2026-08-23T16:00,0,1,123,54,0.0,0,28.7,41,5,7
2026-08-23T17:00,15,1,125,25,0.0,0,29.3,38,3,5
2026-08-23T18:00,7,1,176,17,0.0,0,29.8,40,2,4
2026-08-23T19:00,0,1,22,22,0.0,0,27.9,41,5,3
2026-08-23T20:00,0,1,7,17,0.0,0,25.6,48,6,6
2026-08-23T21:00,0,1,6,354,0.0,0,23.2,58,3,5
2026-08-23T22:00,51,1,49,10,0.0,0,21.8,64,5,5
2026-08-24T06:00,60,1,342,345,0.0,0,15.9,90,3,3
2026-08-24T07:00,60,1,357,4,0.0,0,20.5,63,7,4
2026-08-24T12:00,0,1,8,8,0.0,0,28.5,40,8,9
2026-08-24T13:00,16,1,358,16,0.0,0,28.9,40,5,6
2026-08-24T14:00,0,1,46,30,0.0,0,30.0,36,4,5
2026-08-24T15:00,0,1,46,100,0.0,0,30.4,38,0,7
2026-08-24T16:00,0,4,239,174,0.0,0,30.5,38,5,6
2026-08-24T17:00,0,1,167,171,0.0,0,30.6,40,5,6
2026-08-24T18:00,0,4,194,195,0.0,0,30.5,42,2,5
2026-08-24T19:00,0,2,180,188,0.0,0,28.9,48,4,4
2026-08-24T20:00,33,3,255,172,0.0,0,24.8,61,1,4
2026-08-24T21:00,60,4,22,33,0.0,0,22.5,69,6,4
2026-08-24T22:00,60,5,7,20,0.0,0,22.2,71,5,5
2026-08-28T10:00,4,5,208,300,0.0,0,24.3,89,2,3
2026-08-28T11:00,0,1,87,64,0.0,0,27.7,70,2,3
2026-08-28T12:00,34,2,63,70,0.0,0,28.8,63,4,5
2026-08-28T13:00,0,1,150,123,0.0,0,29.4,61,7,7
2026-08-28T14:00,0,2,84,97,0.0,0,30.2,61,6,7
2026-08-28T15:00,0,1,138,77,0.0,0,30.5,62,5,7
2026-08-28T16:00,0,1,132,116,0.0,0,30.6,61,6,6
2026-08-28T17:00,0,4,124,130,0.0,0,30.2,59,6,7
2026-08-28T18:00,0,4,131,134,0.0,0,28.8,61,3,6
2026-08-28T19:00,32,4,252,233,0.0,0,26.4,80,2,2
2026-08-28T20:00,60,4,232,43,0.0,0,25.3,81,5,4
2026-08-28T21:00,60,5,38,293,0.0,0,24.2,86,3,3
2026-08-28T22:00,60,5,208,232,5.8,1,20.3,80,21,9
2026-08-28T23:00,60,1,12,190,0.8,1,20.4,89,5,8
2026-08-29T01:00,60,4,359,4,0.0,0,20.8,93,7,6
2026-08-29T03:00,60,1,339,266,0.0,0,19.6,98,2,4
2026-08-29T04:00,60,4,221,16,0.0,0,20.0,98,3,3
2026-08-29T05:00,60,4,344,353,0.4,1,20.3,94,3,4
2026-08-29T06:00,60,4,332,347,0.2,1,19.8,96,3,5
2026-08-29T07:00,60,5,355,323,0.0,0,20.1,97,4,4
2026-08-29T08:00,60,2,325,346,0.0,0,21.4,94,4,4
2026-08-29T09:00,24,3,303,287,0.0,0,23.6,88,4,4
2026-08-29T10:00,0,2,315,306,0.0,0,26.1,80,3,5
2026-08-29T11:00,0,3,168,185,0.0,0,27.8,71,6,5
2026-08-29T12:00,0,3,151,141,0.0,0,29.1,64,6,5
2026-08-29T13:00,0,3,114,126,0.0,0,29.6,64,8,7
2026-08-29T14:00,0,2,131,112,0.0,0,30.0,60,12,12
2026-08-29T15:00,0,3,113,115,0.0,0,30.2,45,15,14
2026-08-29T16:00,0,4,151,108,0.0,0,29.2,54,13,14
2026-08-29T17:00,4,1,88,146,0.0,0,28.6,52,4,9
2026-08-29T18:00,40,1,280,282,0.2,1,23.8,82,11,9
2026-08-29T19:00,0,2,326,268,0.0,0,25.5,64,5,7
2026-08-29T20:00,0,3,13,27,0.0,0,24.2,64,9,7
2026-08-29T21:00,0,4,12,19,0.0,0,23.6,66,8,8
2026-08-29T22:00,0,1,8,23,0.0,0,23.2,64,6,9
2026-08-29T23:00,0,1,350,0,0.0,0,22.9,62,5,7
2026-08-30T01:00,0,5,356,13,0.0,0,21.3,70,4,3
2026-08-30T03:00,0,1,312,341,0.0,0,20.6,75,3,4
2026-08-30T04:00,6,1,308,304,0.0,0,17.5,95,2,3
2026-08-30T05:00,60,1,332,313,0.0,0,16.9,96,4,3
2026-08-30T06:00,60,1,292,297,0.0,0,17.1,94,5,4
2026-08-30T07:00,60,1,254,261,0.0,0,16.7,96,5,4
2026-08-30T08:00,6,1,233,274,0.0,0,21.0,86,3,4
2026-08-30T09:00,0,1,297,322,0.0,0,24.1,69,4,5
2026-08-30T10:00,0,1,334,345,0.0,0,26.4,63,4,6
2026-08-30T11:00,0,1,16,38,0.0,0,28.4,52,9,8
2026-08-30T12:00,0,1,353,25,0.0,0,29.3,50,6,9
2026-08-30T13:00,0,1,31,67,0.0,0,30.6,41,5,5
2026-08-30T14:00,0,1,201,55,0.0,0,31.4,39,1,5
2026-08-30T15:00,0,1,121,61,0.0,0,32.1,37,3,4
2026-08-30T16:00,0,1,241,346,0.0,0,31.6,36,2,4
2026-08-30T17:00,0,1,186,181,0.0,0,32.1,35,4,4
2026-08-30T18:00,0,1,260,188,0.0,0,31.8,43,3,4
2026-08-30T19:00,0,1,216,234,0.0,0,29.3,49,4,4
2026-08-30T20:00,0,1,271,210,0.0,0,25.3,65,1,3
2026-08-30T21:00,0,1,328,333,0.0,0,21.3,85,3,2
2026-08-30T22:00,0,1,325,329,0.0,0,20.6,84,3,3
2026-08-30T23:00,0,1,343,353,0.0,0,20.8,79,5,5
2026-08-31T01:00,0,2,297,359,0.0,0,19.0,88,5,6
2026-08-31T03:00,4,1,319,337,0.0,0,18.7,87,4,3
2026-08-31T04:00,26,1,278,317,0.0,0,17.0,95,3,3
2026-08-31T05:00,60,2,307,262,0.0,0,16.6,97,3,3
2026-08-31T06:00,60,1,315,304,0.0,0,16.4,97,2,3
2026-08-31T07:00,60,1,275,327,0.0,0,16.5,98,3,3
2026-08-31T08:00,27,1,242,272,0.0,0,20.4,89,4,4
2026-08-31T09:00,0,1,320,330,0.0,0,23.6,71,5,5
2026-08-31T10:00,0,1,23,328,0.0,0,26.9,59,4,4
2026-08-31T11:00,0,1,128,119,0.0,0,28.6,53,4,4
2026-08-31T12:00,0,1,176,171,0.0,0,29.4,54,5,4
2026-08-31T13:00,0,1,201,168,0.0,0,30.0,53,5,5
2026-08-31T14:00,0,1,138,204,0.0,0,31.1,49,4,4
2026-08-31T15:00,0,1,148,108,0.0,0,31.5,47,6,7
2026-08-31T16:00,0,1,171,170,0.0,0,31.3,47,8,7
2026-08-31T17:00,0,1,192,181,0.0,0,31.1,45,7,7
2026-08-31T18:00,0,1,150,189,0.0,0,30.6,46,6,6
2026-08-31T19:00,0,1,137,144,0.0,0,28.4,61,10,9
2026-08-31T20:00,0,1,127,137,0.0,0,25.8,68,4,6
2026-08-31T21:00,0,1,17,356,0.0,0,23.7,78,5,4
2026-08-31T22:00,0,3,33,354,0.0,0,23.0,79,5,5
2026-08-31T23:00,0,2,12,244,0.0,0,21.6,89,1,4
