datetime,CLOUDINESS,DVENTO,DVENTOMAX,PREC,RADSOL,VVENTO,VVENTOSCAL
2026-08-06T22:00,1,76,91,,0,9,9
2026-08-06T23:00,2,65,77,,0,11,10
2026-08-07T05:00,4,74,70,,0,17,12
2026-08-07T06:00,5,82,93,,2,14,15
2026-08-07T07:00,4,83,80,,84,12,12
2026-08-07T08:00,4,84,82,,242,12,13
2026-08-07T09:00,4,71,39,,560,8,8
2026-08-07T10:00,2,72,75,,1383,16,11
2026-08-07T11:00,2,82,86,,1826,20,15
2026-08-07T12:00,2,78,79,,2144,16,18
2026-08-07T13:00,2,78,109,,2326,14,17
2026-08-07T14:00,2,48,25,,2444,16,15
2026-08-07T15:00,2,65,35,,2240,14,15
2026-08-07T16:00,2,91,88,,1983,11,13
2026-08-07T17:00,3,73,88,,1276,13,14
2026-08-07T18:00,5,269,289,,188,5,9
2026-08-07T19:00,2,86,290,,741,5,6
2026-08-07T20:00,2,67,35,,283,5,9
2026-08-07T21:00,5,88,87,,8,6,5
2026-08-07T22:00,4,64,95,,0,6,6
2026-08-07T23:00,5,32,0,,0,19,10
2026-08-08T05:00,4,51,41,,0,15,17
2026-08-08T06:00,5,72,41,,2,12,12
2026-08-08T07:00,2,69,28,,200,11,12
2026-08-08T08:00,2,20,14,,595,16,13
2026-08-08T09:00,3,44,4,,598,12,14
2026-08-08T10:00,3,67,79,,1125,20,12
2026-08-08T11:00,2,72,64,,1880,21,19
2026-08-08T12:00,2,79,60,,2155,21,20
2026-08-08T13:00,2,92,60,,2319,17,18
2026-08-08T14:00,2,77,82,,2336,23,21
2026-08-08T15:00,2,66,88,,2218,22,21
2026-08-08T16:00,2,72,66,,1965,19,19
2026-08-08T17:00,2,77,64,,1601,18,17
2026-08-08T18:00,2,100,72,,1160,14,14
2026-08-08T19:00,2,68,86,,677,13,13
2026-08-08T20:00,3,64,52,,197,10,12
2026-08-08T21:00,1,74,53,,7,10,10
2026-08-08T22:00,3,82,88,,0,12,12
2026-08-08T23:00,1,82,94,,0,12,12
2026-08-09T05:00,1,85,103,,0,12,10
2026-08-09T06:00,1,93,89,,2,13,11
2026-08-09T07:00,3,73,71,,140,9,12
2026-08-09T08:00,2,83,97,,516,7,8
2026-08-09T09:00,2,17,16,,979,9,8
2026-08-09T10:00,2,70,46,,1302,13,12
2026-08-09T11:00,2,68,35,,1805,10,12
2026-08-09T12:00,2,89,71,,2105,10,12
2026-08-09T13:00,2,158,91,,2271,5,9
2026-08-09T14:00,2,248,233,,2290,9,7
2026-08-09T15:00,2,281,227,,2173,8,9
2026-08-09T16:00,2,230,242,,1953,11,10
2026-08-09T17:00,2,236,240,,1583,11,11
2026-08-09T18:00,2,269,250,,1154,9,9
2026-08-09T19:00,2,259,283,,670,6,8
2026-08-09T20:00,3,92,228,,189,2,3
2026-08-09T21:00,1,70,66,,4,8,8
2026-08-09T22:00,2,77,80,,0,7,8
2026-08-09T23:00,2,83,80,,0,9,9
2026-08-10T05:00,1,82,79,,0,11,10
2026-08-10T06:00,1,77,82,,1,7,10
2026-08-10T07:00,3,82,84,,128,14,10
2026-08-10T08:00,2,63,77,,500,9,10
2026-08-10T09:00,2,98,100,,967,4,6
2026-08-10T10:00,2,218,80,,1428,0,3
2026-08-10T11:00,2,232,226,,1811,7,4
2026-08-10T12:00,2,232,232,,2099,9,9
2026-08-10T13:00,2,249,213,,2247,6,8
2026-08-10T14:00,2,238,227,,2290,7,9
2026-08-10T15:00,2,214,224,,2178,9,9
2026-08-10T16:00,2,233,236,,1934,10,10
2026-08-10T17:00,2,229,246,,1496,9,10
2026-08-10T18:00,3,253,234,,955,5,8
2026-08-10T19:00,4,91,238,,321,3,4
2026-08-10T20:00,4,203,212,,110,5,5
2026-08-10T21:00,1,106,233,,4,3,4
2026-08-10T22:00,1,94,91,,0,8,7
2026-08-10T23:00,4,76,82,,0,10,10
