datetime,CLOUDINESS,DVENTO,DVENTOMAX,PREC,PREC_TYPE,PRESS,TEMP,UMID,VVENTO,VVENTOSCAL
2026-08-14T11:00,0,79,72,0.0,0,1015.4,31.7,22,19,20
2026-08-14T12:00,0,55,74,0.0,0,1015.0,32.6,22,15,15
2026-08-14T13:00,0,38,46,0.0,0,1014.1,33.8,20,18,14
2026-08-14T14:00,0,357,51,0.0,0,1013.4,30.9,38,13,13
2026-08-14T15:00,0,346,340,0.0,0,1012.8,30.7,43,10,12
2026-08-14T16:00,0,313,321,0.0,0,1012.4,30.7,50,7,9
2026-08-14T17:00,0,324,325,0.0,0,1011.9,30.9,48,8,7
2026-08-14T18:00,0,280,248,0.0,0,1011.7,31.9,44,6,8
2026-08-14T19:00,0,228,223,0.0,0,1012.1,31.7,37,7,12
2026-08-14T20:00,0,332,275,0.0,0,1012.2,29.3,52,4,5
2026-08-14T21:00,0,350,327,0.0,0,1012.7,29.1,47,3,4
2026-08-14T22:00,0,96,93,0.0,0,1013.1,28.5,43,5,5
2026-08-14T23:00,0,74,73,0.0,0,1013.3,28.4,36,9,7
2026-08-15T05:00,0,104,114,0.0,0,1012.4,27.4,30,5,6
2026-08-15T06:00,0,105,97,0.0,0,1012.4,26.6,32,3,4
2026-08-15T07:00,0,104,109,0.0,0,1012.3,27.3,30,6,5
2026-08-15T08:00,0,85,64,0.0,0,1012.0,28.0,28,10,9
2026-08-15T09:00,0,87,89,0.0,0,1011.9,29.5,26,9,7
2026-08-15T10:00,0,103,172,0.0,0,1011.8,31.6,24,2,6
2026-08-15T11:00,0,310,321,0.0,0,1011.7,29.4,48,6,6
2026-08-15T12:00,0,315,319,0.0,0,1011.6,30.1,36,6,6
2026-08-15T13:00,0,304,298,0.0,0,1011.4,31.3,32,5,7
2026-08-15T14:00,0,311,283,,,1011.4,31.4,24,6,6
2026-08-15T15:00,0,271,255,0.0,0,1011.2,31.1,44,9,8
2026-08-15T16:00,0,251,271,0.0,0,1010.8,31.1,36,10,9
2026-08-15T17:00,0,290,266,0.0,0,1010.6,31.2,41,5,8
2026-08-15T18:00,0,319,310,0.0,0,1010.4,30.3,50,5,6
2026-08-15T19:00,0,274,315,0.0,0,1010.3,30.2,48,6,5
2026-08-15T20:00,0,271,0,0.0,0,1010.3,29.4,48,6,5
2026-08-15T21:00,0,82,86,0.0,0,1010.8,29.0,39,6,4
2026-08-15T22:00,0,75,76,0.0,0,1010.9,28.2,37,6,6
2026-08-15T23:00,0,86,71,0.0,0,1011.0,27.8,36,5,5
2026-08-16T05:00,0,76,79,0.0,0,1010.5,25.6,41,3,4
2026-08-16T06:00,0,86,85,0.0,0,1010.4,25.0,42,6,4
2026-08-16T07:00,0,67,94,0.0,0,1010.4,26.0,41,2,3
2026-08-16T08:00,0,73,75,0.0,0,1010.4,28.2,38,1,3
2026-08-16T09:00,0,323,325,0.0,0,1010.6,27.6,45,5,3
2026-08-16T10:00,0,327,326,0.0,0,1010.6,27.7,52,4,4
2026-08-16T11:00,0,311,308,0.0,0,1010.8,28.9,49,5,5
2026-08-16T12:00,0,298,303,0.0,0,1011.0,30.0,47,4,6
2026-08-16T13:00,0,304,312,0.0,0,1010.8,30.3,44,6,5
2026-08-16T14:00,0,317,261,0.0,0,1010.6,29.2,54,5,5
2026-08-16T15:00,0,320,307,0.0,0,1010.2,29.2,58,6,6
2026-08-16T16:00,0,307,289,0.0,0,1009.6,30.7,49,6,6
2026-08-16T17:00,0,318,263,0.0,0,1009.5,29.7,54,5,6
2026-08-16T18:00,0,322,317,0.0,0,1009.9,29.1,63,6,6
2026-08-16T19:00,0,321,332,,,1009.9,28.4,70,5,6
2026-08-16T20:00,0,321,341,0.0,0,1010.0,28.5,65,2,4
2026-08-16T21:00,0,74,68,0.0,0,1010.2,28.3,60,5,3
2026-08-16T22:00,0,81,58,0.0,0,1010.4,28.0,58,5,4
2026-08-16T23:00,0,0,73,0.0,0,1010.6,27.6,58,3,3
2026-08-17T05:00,0,172,202,0.0,0,1010.1,25.9,49,4,4
2026-08-17T06:00,0,85,86,1.0,1,1009.7,21.4,78,12,9
2026-08-17T07:00,0,100,110,0.0,0,1008.6,23.4,74,12,10
2026-08-17T08:00,0,127,91,0.0,0,1008.6,24.9,68,5,9
2026-08-17T09:00,0,172,69,0.0,0,1008.9,25.9,66,4,4
2026-08-17T10:00,0,332,341,0.0,0,1009.4,25.8,67,6,4
2026-08-17T11:00,0,322,314,0.0,0,1009.4,26.6,67,6,5
2026-08-17T12:00,0,301,308,0.0,0,1009.3,26.5,64,6,5
2026-08-17T13:00,0,318,264,0.0,0,1008.8,26.4,67,4,6
2026-08-17T14:00,0,272,283,0.0,0,1008.4,27.7,63,6,4
2026-08-17T15:00,0,308,295,0.0,0,1007.8,28.0,62,5,6
2026-08-17T16:00,0,274,326,0.0,0,1006.4,29.6,49,4,5
2026-08-17T17:00,0,277,268,0.0,0,1006.3,28.9,53,9,8
2026-08-17T18:00,0,275,296,0.0,0,1006.4,28.3,56,10,8
2026-08-17T19:00,0,328,317,0.0,0,1006.6,27.7,62,7,10
2026-08-17T20:00,0,41,347,0.0,0,1006.0,25.9,59,12,14
2026-08-17T21:00,0,91,53,0.0,0,1006.6,25.2,62,8,6
2026-08-17T22:00,0,123,113,0.0,0,1006.7,25.6,58,6,7
2026-08-17T23:00,0,101,103,0.0,0,1006.9,25.1,58,9,7
2026-08-18T05:00,0,118,140,0.0,0,1008.3,24.5,50,9,7
2026-08-18T06:00,0,138,128,0.0,0,1008.3,23.5,53,8,6
2026-08-18T07:00,0,107,92,0.0,0,1008.2,23.7,52,10,8
2026-08-18T08:00,0,93,88,0.0,0,1008.5,25.5,45,5,6
2026-08-18T09:00,0,79,83,0.0,0,1009.2,27.4,39,5,7
2026-08-18T10:00,0,326,245,0.0,0,1009.3,28.1,40,3,4
2026-08-18T11:00,0,277,273,0.0,0,1009.4,27.8,48,8,6
2026-08-18T12:00,0,311,269,0.0,0,1009.7,27.5,51,7,6
2026-08-18T13:00,0,318,320,,,1009.2,27.8,55,8,7
2026-08-18T14:00,0,320,316,,,1008.8,27.7,57,8,8
2026-08-18T15:00,0,314,305,0.0,0,1008.3,27.8,60,7,7
2026-08-18T16:00,0,313,314,0.0,0,1007.8,28.3,61,8,7
2026-08-18T17:00,0,280,274,0.0,0,1007.4,28.9,58,4,7
2026-08-18T18:00,0,333,269,0.0,0,1006.7,27.5,61,4,5
2026-08-18T19:00,0,335,329,0.0,0,1006.4,27.8,55,4,4
2026-08-18T20:00,0,319,316,0.0,0,1006.8,27.3,61,5,4
2026-08-18T21:00,0,291,309,0.0,0,1007.3,27.5,59,1,3
2026-08-18T22:00,0,87,39,0.0,0,1007.7,27.2,52,4,4
2026-08-18T23:00,0,103,75,0.0,0,1007.7,26.5,54,5,5
2026-08-19T05:00,0,135,150,0.0,0,1007.8,25.2,53,7,7
2026-08-19T06:00,0,80,79,0.0,0,1007.8,25.1,53,5,6
2026-08-19T07:00,0,90,221,0.0,0,1008.2,26.3,52,1,2
2026-08-19T08:00,0,0,336,0.0,0,1008.6,27.2,49,1,2
2026-08-19T09:00,0,304,307,0.0,0,1008.8,27.8,51,3,3
2026-08-19T10:00,0,319,333,0.0,0,1008.9,28.6,52,4,5
2026-08-19T11:00,0,267,266,0.0,0,1009.4,29.7,46,8,6
2026-08-19T12:00,0,315,328,,,1009.2,29.4,45,7,6
2026-08-19T13:00,0,298,294,0.0,0,1009.1,30.8,46,6,7
2026-08-19T14:00,0,269,312,0.0,0,1008.9,29.4,49,9,8
2026-08-19T15:00,0,304,262,0.0,0,1008.7,29.7,58,6,8
2026-08-19T16:00,0,323,318,0.0,0,1008.1,29.1,61,5,7
2026-08-19T17:00,0,300,306,0.0,0,1007.7,29.9,62,8,8
2026-08-19T18:00,0,307,301,0.0,0,1007.9,29.1,68,8,7
2026-08-19T19:00,0,353,5,0.0,0,1007.4,28.7,76,6,6
2026-08-19T20:00,0,334,6,0.0,0,1007.3,28.6,80,4,5
2026-08-19T21:00,0,151,355,0.0,0,1007.7,28.6,78,1,3
2026-08-19T22:00,0,108,123,0.0,0,1008.2,28.8,59,9,6
2026-08-19T23:00,0,108,139,0.0,0,1008.5,28.5,55,8,8
2026-08-20T05:00,0,126,124,0.0,0,1007.0,27.3,69,9,10
2026-08-20T06:00,0,120,127,0.0,0,1007.8,27.2,71,7,9
2026-08-20T07:00,0,115,126,0.0,0,1008.4,27.3,74,12,10
2026-08-20T08:00,0,143,157,0.0,0,1008.4,28.2,72,9,10
2026-08-20T09:00,0,171,147,0.0,0,1008.7,29.0,70,10,10
2026-08-20T10:00,0,187,168,0.0,0,1008.4,31.3,58,9,9
2026-08-20T11:00,0,216,174,0.0,0,1008.7,32.2,54,9,10
2026-08-20T12:00,0,248,253,0.0,0,1009.0,29.6,77,16,15
2026-08-20T13:00,0,257,259,0.0,0,1009.3,30.0,71,18,15
2026-08-20T14:00,0,260,248,0.0,0,1008.8,30.2,68,14,14
2026-08-20T15:00,0,267,268,0.0,0,1008.4,29.5,74,17,17
2026-08-20T16:00,0,261,262,0.0,0,1008.3,30.3,67,15,17
2026-08-20T17:00,0,345,260,0.0,0,1007.7,29.3,69,8,10
2026-08-20T18:00,0,151,180,0.0,0,1007.3,31.7,51,10,8
2026-08-20T19:00,0,161,128,0.0,0,1007.6,31.2,50,4,7
2026-08-20T20:00,0,132,128,0.0,0,1006.6,30.7,54,5,5
2026-08-20T21:00,0,117,176,0.0,0,1006.6,29.5,66,9,7
2026-08-21T07:00,0,117,114,0.0,0,1007.4,24.2,82,7,7
2026-08-21T08:00,0,74,93,0.0,0,1007.4,25.2,78,4,6
2026-08-21T09:00,0,122,90,0.0,0,1006.9,26.2,76,7,5
2026-08-21T10:00,0,179,114,0.0,0,1008.0,28.3,69,6,7
2026-08-21T11:00,0,210,175,0.0,0,1007.3,28.1,70,8,8
2026-08-21T12:00,0,67,262,0.0,0,1007.6,26.7,73,5,11
2026-08-21T13:00,0,226,61,0.2,1,1007.2,25.9,78,4,4
2026-08-21T14:00,0,97,94,1.2,1,1004.7,27.9,73,8,5
2026-08-21T15:00,0,188,186,0.0,0,1004.7,29.2,62,10,8
2026-08-21T16:00,0,236,228,1.5,1,1008.4,20.4,79,27,16
2026-08-21T17:00,0,120,239,4.8,1,1007.1,20.0,91,15,14
2026-08-21T18:00,0,125,117,0.0,0,1006.6,21.4,82,9,10
2026-08-21T19:00,0,103,141,0.0,0,1006.1,22.5,76,6,5
2026-08-21T20:00,0,122,92,0.0,0,1006.2,22.7,75,8,7
2026-08-21T21:00,0,179,138,0.0,0,1007.0,22.8,74,4,7
2026-08-22T07:00,0,116,143,0.0,0,1008.5,23.2,86,6,5
2026-08-22T08:00,0,80,110,0.0,0,1009.0,23.8,85,4,4
2026-08-22T09:00,0,131,96,0.0,0,1009.5,24.6,80,3,3
2026-08-22T10:00,0,209,199,0.0,0,1009.7,25.8,77,5,4
2026-08-22T11:00,0,348,311,2.4,1,1010.4,23.6,89,8,6
2026-08-22T12:00,0,322,352,0.0,0,1010.5,26.5,74,5,6
2026-08-22T13:00,0,68,66,0.0,0,1010.7,26.3,67,12,10
2026-08-22T14:00,0,71,73,0.0,0,1010.8,25.9,62,14,15
2026-08-22T15:00,0,83,91,0.0,0,1010.9,27.1,58,11,15
2026-08-22T16:00,0,75,63,0.0,0,1011.0,27.1,56,16,15
2026-08-22T17:00,0,78,63,0.0,0,1010.9,27.7,50,12,15
2026-08-22T18:00,0,82,95,0.0,0,1010.9,27.0,50,18,17
2026-08-22T19:00,0,78,77,0.0,0,1011.3,26.1,52,18,18
2026-08-22T20:00,0,70,76,0.0,0,1011.9,24.0,54,26,22
2026-08-22T21:00,0,75,63,0.0,0,1012.5,23.9,52,24,25
2026-08-23T07:00,0,87,76,0.0,0,1014.6,22.8,54,21,22
2026-08-23T08:00,0,88,78,0.0,0,1014.7,23.4,53,21,18
2026-08-23T09:00,0,85,86,0.0,0,1015.0,24.5,50,24,22
2026-08-23T10:00,0,81,88,0.0,0,1015.1,26.0,44,21,24
2026-08-23T12:00,0,76,74,0.0,0,1015.3,28.6,38,15,18
2026-08-23T13:00,0,76,70,0.0,0,1015.0,28.7,37,15,16
2026-08-23T14:00,0,40,62,0.0,0,1014.7,29.7,35,12,15
2026-08-23T15:00,0,45,85,0.0,0,1014.0,30.3,34,11,13
2026-08-23T16:00,0,350,94,0.0,0,1013.6,31.3,34,5,10
2026-08-23T17:00,0,292,299,0.0,0,1013.9,29.9,48,9,9
2026-08-23T18:00,0,288,271,0.0,0,1013.9,29.5,54,7,10
2026-08-23T19:00,0,266,303,0.0,0,1013.8,29.1,49,10,8
2026-08-23T20:00,0,85,83,0.0,0,1014.1,28.3,42,12,9
2026-08-23T21:00,0,145,98,0.0,0,1014.6,26.8,45,9,11
2026-08-23T22:00,0,113,76,0.0,0,1014.8,26.0,47,3,6
2026-08-24T06:00,0,78,98,0.0,0,1014.0,23.4,50,12,13
2026-08-24T07:00,0,111,93,0.0,0,1013.9,24.0,49,9,10
2026-08-24T12:00,0,239,104,0.0,0,1013.4,31.8,33,3,7
2026-08-24T13:00,0,257,257,0.0,0,1013.3,30.5,40,11,11
2026-08-24T14:00,0,276,272,0.0,0,1013.5,29.8,47,8,8
2026-08-24T15:00,0,266,291,0.0,0,1013.2,29.3,47,9,8
2026-08-24T16:00,0,306,270,0.0,0,1012.8,29.0,48,6,7
2026-08-24T17:00,0,270,292,0.0,0,1012.7,29.4,49,6,6
2026-08-24T18:00,0,309,339,0.0,0,1012.1,29.2,54,4,5
2026-08-24T19:00,0,291,311,0.0,0,1011.6,29.4,44,3,4
2026-08-24T20:00,0,337,279,0.0,0,1011.9,27.7,51,4,3
2026-08-24T21:00,0,87,89,0.0,0,1011.9,27.0,49,5,4
2026-08-24T22:00,0,77,73,0.0,0,1011.7,26.3,52,5,5
2026-08-28T10:00,0,176,165,0.0,0,1013.1,28.8,52,5,5
2026-08-28T11:00,0,319,313,0.0,0,1013.1,29.0,55,6,4
2026-08-28T12:00,0,321,320,0.0,0,1012.3,29.2,55,6,5
2026-08-28T13:00,0,320,316,0.0,0,1011.5,29.5,57,6,5
2026-08-28T14:00,0,302,299,0.0,0,1011.8,30.5,58,7,6
2026-08-28T15:00,0,317,291,0.0,0,1011.5,29.6,56,7,7
2026-08-28T16:00,0,308,284,0.0,0,1011.0,29.9,54,6,5
