datetime,CLOUDINESS,DVENTO,DVENTOMAX,PREC,PREC_TYPE,RADSOL,TEMP,UMID,VVENTO,VVENTOSCAL
2026-08-08T05:00,4,345,353,0.0,0,0,15.3,97,1,3
2026-08-08T06:00,3,304,348,0.0,0,0,15.5,97,1,2
2026-08-08T07:00,5,270,129,0.0,0,96,16.1,97,1,2
2026-08-08T08:00,4,273,263,0.0,0,353,16.9,97,2,2
2026-08-08T09:00,4,250,231,0.0,0,842,18.5,96,3,3
2026-08-08T10:00,3,288,234,0.0,0,2025,19.5,82,5,4
2026-08-08T11:00,3,218,272,0.0,0,2144,22.2,75,3,4
2026-08-08T12:00,4,233,116,0.0,0,2220,21.9,76,4,5
2026-08-08T13:00,5,88,3,0.0,0,2677,24.9,71,1,4
2026-08-08T14:00,4,86,66,0.0,0,3568,24.8,67,5,8
2026-08-08T15:00,3,153,129,0.0,0,2806,26.0,67,4,5
2026-08-08T16:00,2,179,108,0.0,0,2279,27.3,64,5,5
2026-08-08T17:00,2,71,124,0.0,0,1823,26.4,60,3,5
2026-08-08T18:00,2,54,119,0.0,0,1539,25.3,63,6,8
2026-08-08T19:00,1,102,120,0.0,0,962,24.0,62,6,7
2026-08-08T20:00,1,66,108,0.0,0,223,20.3,76,5,5
2026-08-08T21:00,1,70,53,0.0,0,9,17.8,87,3,3
2026-08-08T22:00,1,42,46,0.0,0,0,16.6,88,1,4
2026-08-08T23:00,1,348,149,0.0,0,0,15.4,91,1,3
2026-08-09T05:00,1,57,16,0.0,0,0,11.3,96,3,3
2026-08-09T06:00,1,37,7,0.0,0,0,10.6,96,1,2
2026-08-09T07:00,1,12,37,0.0,0,118,11.6,97,1,1
2026-08-09T08:00,1,10,33,0.0,0,638,15.2,98,1,2
2026-08-09T09:00,1,314,294,0.0,0,1298,20.5,93,2,2
2026-08-09T10:00,1,46,60,0.0,0,1901,23.7,66,1,3
2026-08-09T11:00,1,86,134,0.0,0,2450,25.5,57,6,6
2026-08-09T12:00,1,104,85,0.0,0,2852,27.8,58,7,7
2026-08-09T13:00,1,96,128,0.0,0,3088,27.4,52,6,6
2026-08-09T14:00,1,84,126,0.0,0,3133,28.5,54,6,7
2026-08-09T15:00,1,96,123,0.0,0,2996,29.8,48,7,7
2026-08-09T16:00,1,98,126,0.0,0,2659,29.0,48,9,8
2026-08-09T17:00,1,92,125,0.0,0,2169,28.4,48,9,9
2026-08-09T18:00,1,98,126,0.0,0,1576,27.4,48,8,9
2026-08-09T19:00,1,74,133,0.0,0,924,25.9,53,6,7
2026-08-09T20:00,1,46,121,0.0,0,281,23.1,63,4,6
2026-08-09T21:00,5,213,266,0.0,0,5,18.5,83,2,2
2026-08-09T22:00,4,128,125,0.0,0,0,16.8,88,1,2
2026-08-09T23:00,4,84,152,0.0,0,0,16.3,91,3,3
2026-08-10T05:00,1,236,56,0.0,0,0,12.7,95,2,2
2026-08-10T06:00,1,180,175,0.0,0,0,12.4,96,1,2
2026-08-10T07:00,1,2,10,0.0,0,122,13.0,97,1,3
2026-08-10T08:00,1,22,287,0.0,0,642,16.6,98,1,2
2026-08-10T09:00,1,170,135,0.0,0,1292,21.9,70,2,2
2026-08-10T10:00,2,289,282,0.0,0,1905,24.3,60,5,3
2026-08-10T11:00,3,258,256,0.0,0,2474,27.7,56,4,5
2026-08-10T12:00,4,250,299,0.0,0,2744,29.9,50,4,6
2026-08-10T13:00,2,331,301,0.0,0,3146,29.0,44,8,7
2026-08-10T14:00,2,44,6,0.0,0,3143,30.6,44,4,6
2026-08-10T15:00,4,196,268,0.0,0,2962,31.4,44,3,4
2026-08-10T16:00,5,120,117,0.0,0,2527,30.4,44,5,5
2026-08-10T17:00,5,331,247,2.8,1,170,20.7,75,5,6
2026-08-10T18:00,5,58,258,11.6,1,471,18.9,90,8,7
2026-08-10T19:00,4,33,59,0.0,0,632,19.7,90,3,4
2026-08-10T20:00,4,126,48,0.0,0,233,18.4,91,3,3
2026-08-10T21:00,5,159,174,0.0,0,9,16.4,93,2,2
2026-08-10T22:00,5,166,169,0.0,0,0,15.9,95,1,1
2026-08-10T23:00,5,96,356,0.0,0,0,15.3,95,0,1
2026-08-11T05:00,3,58,293,0.0,0,0,14.5,97,2,2
2026-08-11T06:00,5,262,310,0.0,0,0,14.1,97,1,2
2026-08-11T07:00,5,289,122,0.0,0,78,14.9,98,1,1
2026-08-11T08:00,5,254,300,0.0,0,202,15.8,98,1,1
2026-08-11T09:00,5,230,0,0.0,0,336,16.9,98,1,1
2026-08-11T10:00,5,260,296,0.0,0,447,17.7,98,1,1
2026-08-11T11:00,5,264,304,0.0,0,1580,22.5,95,3,3
2026-08-11T12:00,4,271,269,0.0,0,2505,24.6,71,6,5
2026-08-11T13:00,3,266,293,0.0,0,2640,26.5,56,5,4
2026-08-11T14:00,2,268,288,0.0,0,2705,27.8,64,6,7
2026-08-11T15:00,2,260,291,0.0,0,2930,29.4,48,4,5
2026-08-11T16:00,4,49,50,0.0,0,2614,29.4,47,8,6
2026-08-11T17:00,4,41,44,0.0,0,1607,26.5,51,13,12
2026-08-11T18:00,4,68,19,0.0,0,694,27.4,55,7,9
2026-08-11T19:00,5,60,17,0.0,0,230,23.7,65,8,9
2026-08-11T20:00,4,283,299,2.8,1,17,17.5,85,8,9
2026-08-11T21:00,5,283,272,1.0,1,0,16.6,92,2,3
2026-08-11T22:00,4,324,302,0.0,0,0,15.9,94,0,3
2026-08-11T23:00,4,97,140,0.0,0,0,15.8,96,1,1
2026-08-12T05:00,1,246,123,0.0,0,0,12.3,97,1,2
2026-08-12T06:00,1,62,40,0.0,0,0,11.8,97,2,2
2026-08-12T07:00,1,39,11,0.0,0,85,12.2,98,0,1
2026-08-12T08:00,1,194,164,0.0,0,624,15.4,98,0,1
2026-08-12T09:00,1,261,250,0.0,0,1251,18.6,98,3,3
2026-08-12T10:00,1,294,280,0.0,0,1870,21.5,87,4,4
2026-08-12T11:00,1,102,123,0.0,0,2415,24.4,61,5,5
2026-08-12T12:00,1,100,121,0.0,0,2828,26.1,53,8,6
2026-08-12T13:00,2,99,134,0.0,0,3064,27.4,54,7,7
2026-08-12T14:00,2,102,117,0.0,0,3103,28.2,48,6,7
2026-08-12T15:00,2,105,119,0.0,0,2951,28.6,44,8,7
2026-08-12T16:00,2,100,91,0.0,0,2619,28.1,46,9,9
2026-08-12T17:00,1,98,128,0.0,0,2118,27.9,47,8,8
2026-08-12T18:00,1,88,49,0.0,0,1519,26.4,48,8,8
2026-08-12T19:00,1,81,78,0.0,0,837,24.4,52,7,8
2026-08-12T20:00,1,49,59,0.0,0,210,21.9,60,6,6
2026-08-12T21:00,1,54,43,0.0,0,0,20.3,68,6,6
2026-08-12T22:00,1,48,43,0.0,0,0,20.4,68,7,6
2026-08-12T23:00,1,38,35,0.0,0,0,20.2,65,7,7
2026-08-13T05:00,1,40,33,0.0,0,0,11.0,94,1,1
2026-08-13T06:00,1,28,37,0.0,0,0,10.5,95,1,1
2026-08-13T07:00,1,31,10,0.0,0,87,10.6,96,1,1
2026-08-13T08:00,1,25,40,0.0,0,631,14.7,97,1,1
2026-08-13T09:00,1,205,191,0.0,0,1272,20.2,70,3,2
2026-08-13T10:00,1,289,292,0.0,0,1908,22.8,57,3,4
2026-08-13T11:00,1,154,114,0.0,0,2450,25.0,54,4,4
2026-08-13T12:00,1,169,12,0.0,0,2849,26.8,47,3,4
2026-08-13T13:00,1,277,308,0.0,0,3071,28.5,46,3,4
2026-08-13T14:00,1,261,291,0.0,0,3105,28.4,46,3,4
2026-08-13T15:00,1,146,130,0.0,0,2947,29.9,45,5,5
2026-08-13T16:00,1,105,125,0.0,0,2616,29.1,45,7,7
2026-08-13T17:00,1,108,106,0.0,0,2126,28.3,44,9,8
2026-08-13T18:00,1,100,115,0.0,0,1528,26.9,45,9,9
2026-08-13T19:00,1,92,127,0.0,0,883,24.6,49,9,9
2026-08-13T20:00,1,66,95,0.0,0,266,21.6,57,6,8
2026-08-13T21:00,1,26,57,0.0,0,4,19.5,64,7,7
2026-08-13T22:00,1,54,58,0.0,0,0,17.8,69,5,5
2026-08-13T23:00,1,85,54,0.0,0,0,16.0,78,3,5
2026-08-14T05:00,1,51,39,0.0,0,0,9.1,95,1,1
2026-08-14T06:00,1,7,17,0.0,0,0,8.3,95,1,1
2026-08-14T07:00,1,55,270,0.0,0,75,8.6,96,0,1
2026-08-14T08:00,1,199,105,0.0,0,615,12.7,98,0,1
2026-08-14T09:00,1,238,298,0.0,0,1294,18.5,73,3,2
2026-08-14T10:00,1,280,297,0.0,0,1940,21.9,58,4,4
2026-08-14T11:00,1,283,255,0.0,0,2484,23.8,50,4,5
2026-08-14T12:00,1,181,266,0.0,0,2880,26.7,46,3,4
2026-08-14T13:00,1,192,277,0.0,0,3111,28.1,43,3,4
2026-08-14T14:00,1,221,306,0.0,0,3148,29.2,45,3,4
2026-08-14T15:00,1,107,123,0.0,0,2992,29.6,38,6,6
2026-08-14T16:00,1,103,107,0.0,0,2651,29.0,40,8,8
2026-08-14T17:00,1,116,83,0.0,0,2157,28.6,39,9,9
2026-08-14T18:00,1,105,124,0.0,0,1544,27.0,38,9,10
