datetime,CDD,ET0,GDD,HDD,LIVIDRO,TEMP
2026-09-09T02:15,,,,,-0.39,19.3
2026-09-09T02:45,,,,,-0.39,19.3
2026-09-09T03:15,,,,,-0.38,19.1
2026-09-09T03:45,,,,,-0.42,19.1
2026-09-09T04:15,,,,,,19.0
2026-09-09T04:20,,,,,-0.38,
2026-09-09T04:45,,,,,-0.38,19.2
2026-09-09T05:15,,,,,-0.38,19.2
2026-09-09T05:45,,,,,-0.38,19.2
2026-09-09T06:15,,,,,-0.4,18.6
2026-09-09T06:45,,,,,-0.27,17.0
2026-09-09T07:15,,,,,-0.29,17.3
2026-09-09T07:30,,,,,-0.27,16.1
2026-09-09T08:15,,,,,0.09,16.1
2026-09-09T08:45,,,,,0.67,15.1
2026-09-09T09:15,,,,,1.65,14.7
2026-09-09T09:45,,,,,2.3,14.2
2026-09-09T10:15,,,,,2.29,14.2
2026-09-09T10:45,,,,,2.68,14.5
2026-09-09T11:15,,,,,1.98,14.7
2026-09-09T11:45,,,,,1.35,15.1
2026-09-09T12:15,,,,,1.15,15.4
2026-09-09T12:45,,,,,1.0,16.1
2026-09-09T13:00,0.0,2.22,6.8,0.6,,
2026-09-09T13:15,,,,,0.83,17.2
2026-09-09T13:45,,,,,0.7,18.5
2026-09-09T14:15,,,,,0.6,18.4
2026-09-09T14:45,,,,,0.52,18.2
2026-09-09T15:15,,,,,0.45,18.3
2026-09-09T15:45,,,,,0.4,18.2
2026-09-09T16:15,,,,,0.37,18.2
2026-09-09T16:30,,,,,0.34,18.3
2026-09-09T17:15,,,,,0.3,18.3
2026-09-09T17:45,,,,,0.28,18.5
2026-09-09T18:15,,,,,0.24,18.3
2026-09-09T18:45,,,,,0.21,18.2
2026-09-09T19:15,,,,,0.19,18.1
2026-09-09T19:45,,,,,0.17,18.2
2026-09-09T20:00,,,,,0.17,18.4
2026-09-09T20:30,,,,,0.16,17.9
2026-09-09T22:00,,,,,,16.8
2026-09-09T22:15,,,,,0.15,
2026-09-09T23:15,,,,,0.12,17.7
2026-09-09T23:45,,,,,0.1,17.3
2026-09-10T00:15,,,,,0.09,17.1
2026-09-10T00:45,,,,,0.08,17.4
2026-09-10T01:00,,,,,0.07,17.1
2026-09-10T01:45,,,,,0.05,16.1
2026-09-10T02:15,,,,,0.04,15.8
2026-09-10T02:45,,,,,0.03,15.7
2026-09-10T03:00,,,,,0.03,15.8
2026-09-10T03:45,,,,,0.02,15.6
2026-09-10T04:15,,,,,0.01,15.3
2026-09-10T04:30,,,,,0.0,15.0
2026-09-10T05:15,,,,,-0.01,14.3
2026-09-10T05:45,,,,,-0.02,14.6
2026-09-10T06:15,,,,,-0.02,14.9
2026-09-10T06:45,,,,,-0.01,15.1
2026-09-10T07:15,,,,,0.0,15.8
2026-09-10T07:45,,,,,,16.5
2026-09-10T08:15,,,,,0.04,16.2
2026-09-10T08:45,,,,,0.1,13.8
2026-09-10T09:15,,,,,1.03,13.5
2026-09-10T09:45,,,,,2.71,13.5
2026-09-10T10:15,,,,,2.57,13.7
2026-09-10T10:45,,,,,2.04,14.2
2026-09-10T11:15,,,,,1.54,14.2
2026-09-10T11:45,,,,,1.23,15.1
2026-09-10T12:15,,,,,1.03,17.1
2026-09-10T12:45,,,,,0.87,18.5
2026-09-10T13:00,0.0,2.79,4.7,3.3,,
2026-09-10T13:15,,,,,0.77,18.7
2026-09-10T13:45,,,,,0.69,18.9
2026-09-10T14:15,,,,,0.61,18.7
2026-09-10T14:45,,,,,0.53,19.2
2026-09-10T15:15,,,,,0.49,18.9
2026-09-10T15:45,,,,,0.43,19.5
2026-09-10T16:15,,,,,0.4,18.0
2026-09-10T16:45,,,,,0.37,16.7
2026-09-10T17:15,,,,,0.33,14.6
2026-09-10T17:45,,,,,0.31,13.6
2026-09-10T18:00,,,,,0.3,13.3
2026-09-10T18:45,,,,,0.26,12.8
2026-09-10T19:15,,,,,0.23,12.1
2026-09-10T19:45,,,,,0.22,11.8
