datetime,CDD,ET0,GDD,HDD,PREC,PREC24,PREC48,RADSOL,TDEW,TEMP,UMID,VPD
2026-09-06T12:00,,,,,0.00,0.0,0.0,643,13.3,31.58,33,3.111
2026-09-06T13:00,9.4,3.56,19.5,0.0,0.00,0.0,0.0,714,13.6,32.41,32,3.309
2026-09-06T14:00,,,,,0.00,0.0,0.0,736,13.5,32.85,31,3.442
2026-09-06T15:00,,,,,0.00,0.0,0.0,702,13.5,32.90,31,3.451
2026-09-06T16:00,,,,,0.00,0.0,0.0,625,13.7,32.50,32,3.326
2026-09-06T17:00,,,,,0.00,0.0,0.0,469,14.1,32.47,33,3.271
2026-09-06T18:00,,,,,0.00,0.0,0.0,316,14.6,31.94,35,3.08
2026-09-06T19:00,,,,,0.00,0.0,0.0,151,14.8,31.23,37,2.868
2026-09-06T20:00,,,,,0.00,0.0,0.0,14,15.6,29.93,42,2.451
2026-09-06T21:00,,,,,0.00,0.0,0.0,0,16.4,27.81,50,1.869
2026-09-06T22:00,,,,,0.00,0.0,0.0,0,16.9,26.39,56,1.513
2026-09-06T23:00,,,,,0.00,0.0,0.0,0,16.5,26.58,54,1.6
2026-09-07T00:00,,,,,0.00,0.0,0.0,0,15.7,26.05,53,1.585
2026-09-07T01:00,,,,,0.00,0.0,0.0,0,15.8,25.24,56,1.414
2026-09-07T02:00,,,,,0.00,0.0,0.0,0,16.3,23.49,64,1.042
2026-09-07T03:00,,,,,0.00,0.0,0.0,0,16.8,22.36,71,0.784
2026-09-07T04:00,,,,,0.00,0.0,0.0,0,16.6,21.92,72,0.737
2026-09-07T05:00,,,,,0.00,0.0,0.0,0,16.9,21.32,76,0.609
2026-09-07T06:00,,,,,0.00,0.0,0.0,0,17.3,20.86,80,0.493
2026-09-07T07:00,,,,,0.00,0.0,0.0,1,18.0,20.62,85,0.364
2026-09-07T08:00,,,,,0.00,0.0,0.0,50,18.5,21.91,81,0.5
2026-09-07T09:00,,,,,0.00,0.0,0.0,190,16.8,25.42,59,1.332
2026-09-07T10:00,,,,,0.00,0.0,0.0,350,16.3,28.35,48,2.006
2026-09-07T11:00,,,,,0.00,0.0,0.0,473,15.8,30.56,41,2.585
2026-09-07T12:00,,,,,0.00,0.0,0.0,615,14.6,32.48,34,3.224
2026-09-07T13:00,6.6,4.7,17.4,0.0,0.00,0.0,0.0,683,14.8,33.27,33,3.422
2026-09-07T14:00,,,,,0.00,0.0,0.0,703,15.7,34.24,33,3.612
2026-09-07T15:00,,,,,0.00,0.0,0.0,667,15.4,33.98,33,3.56
2026-09-07T16:00,,,,,0.00,0.0,0.0,591,15.4,33.40,34,3.395
2026-09-07T17:00,,,,,0.00,0.0,0.0,411,15.3,33.25,34,3.367
