datetime,MAREA
2026-09-06T11:55,0.4
2026-09-06T12:05,0.39
2026-09-06T12:15,0.39
2026-09-06T12:25,0.39
2026-09-06T12:35,0.38
2026-09-06T12:45,0.37
2026-09-06T12:55,0.37
2026-09-06T13:05,0.37
2026-09-06T13:15,0.38
2026-09-06T13:25,0.38
2026-09-06T13:35,0.38
2026-09-06T13:45,0.39
2026-09-06T13:55,0.39
2026-09-06T14:05,0.39
2026-09-06T14:15,0.4
2026-09-06T14:25,0.4
2026-09-06T14:35,0.41
2026-09-06T15:05,0.44
2026-09-06T15:15,0.45
2026-09-06T15:35,0.46
2026-09-06T15:45,0.47
2026-09-06T15:55,0.48
2026-09-06T16:05,0.5
2026-09-06T16:15,0.5
2026-09-06T16:25,0.51
2026-09-06T16:35,0.52
2026-09-06T16:45,0.53
2026-09-06T17:05,0.54
2026-09-06T17:35,0.56
2026-09-06T17:45,0.57
2026-09-06T18:05,0.57
2026-09-06T18:35,0.58
2026-09-06T18:45,0.58
2026-09-06T18:55,0.58
2026-09-06T19:05,0.57
2026-09-06T19:25,0.55
2026-09-06T19:35,0.54
2026-09-06T20:05,0.52
2026-09-06T20:15,0.5
2026-09-06T20:35,0.46
2026-09-06T20:45,0.44
2026-09-06T21:05,0.4
2026-09-06T21:15,0.38
2026-09-06T21:35,0.34
2026-09-06T21:45,0.32
2026-09-06T21:55,0.29
2026-09-06T22:05,0.26
2026-09-06T22:15,0.23
2026-09-06T22:25,0.2
2026-09-06T22:35,0.18
2026-09-06T22:45,0.15
2026-09-06T23:05,0.1
2026-09-06T23:15,0.09
2026-09-06T23:35,0.04
2026-09-06T23:45,0.02
2026-09-06T23:55,0.0
2026-09-07T00:15,-0.03
2026-09-07T00:25,-0.03
2026-09-07T00:35,-0.04
2026-09-07T00:45,-0.06
2026-09-07T00:55,-0.07
2026-09-07T01:05,-0.06
2026-09-07T01:15,-0.06
2026-09-07T01:35,-0.07
2026-09-07T01:45,-0.06
2026-09-07T02:05,-0.05
2026-09-07T02:15,-0.05
2026-09-07T02:25,-0.03
2026-09-07T02:35,-0.01
2026-09-07T02:45,0.0
2026-09-07T03:05,0.03
2026-09-07T03:15,0.06
2026-09-07T03:25,0.08
2026-09-07T03:35,0.1
2026-09-07T03:45,0.12
2026-09-07T03:55,0.16
2026-09-07T04:05,0.18
2026-09-07T04:10,0.19
2026-09-07T04:25,0.22
2026-09-07T04:35,0.25
2026-09-07T04:45,0.29
2026-09-07T04:55,0.32
2026-09-07T05:05,0.34
2026-09-07T05:15,0.36
2026-09-07T05:25,0.39
2026-09-07T05:35,0.42
2026-09-07T05:45,0.43
2026-09-07T05:55,0.46
2026-09-07T06:05,0.48
2026-09-07T06:15,0.5
2026-09-07T06:25,0.52
2026-09-07T06:35,0.54
2026-09-07T06:45,0.55
2026-09-07T06:55,0.56
2026-09-07T07:05,0.57
2026-09-07T07:15,0.58
2026-09-07T07:25,0.59
2026-09-07T07:35,0.59
2026-09-07T07:45,0.6
2026-09-07T07:55,0.6
2026-09-07T08:05,0.61
2026-09-07T08:15,0.62
2026-09-07T08:25,0.62
2026-09-07T08:35,0.61
2026-09-07T08:45,0.61
2026-09-07T08:55,0.61
2026-09-07T09:05,0.6
2026-09-07T09:15,0.59
2026-09-07T09:25,0.59
2026-09-07T09:35,0.58
2026-09-07T09:45,0.57
2026-09-07T09:55,0.57
2026-09-07T10:05,0.55
2026-09-07T10:15,0.54
2026-09-07T10:25,0.52
2026-09-07T10:35,0.51
2026-09-07T10:45,0.49
2026-09-07T11:05,0.45
2026-09-07T11:15,0.44
2026-09-07T11:25,0.43
2026-09-07T11:35,0.41
2026-09-07T11:45,0.38
2026-09-07T11:55,0.36
2026-09-07T12:05,0.36
2026-09-07T12:15,0.34
2026-09-07T12:25,0.34
2026-09-07T12:35,0.33
2026-09-07T12:45,0.32
2026-09-07T12:55,0.31
2026-09-07T13:05,0.3
2026-09-07T13:15,0.3
2026-09-07T13:25,0.29
2026-09-07T13:35,0.28
2026-09-07T13:45,0.29
2026-09-07T13:55,0.3
2026-09-07T14:05,0.3
2026-09-07T14:15,0.31
2026-09-07T14:25,0.3
2026-09-07T14:35,0.3
2026-09-07T14:45,0.32
2026-09-07T14:55,0.33
2026-09-07T15:05,0.34
2026-09-07T15:15,0.36
2026-09-07T15:25,0.37
2026-09-07T15:35,0.38
2026-09-07T15:45,0.39
2026-09-07T15:55,0.4
2026-09-07T16:05,0.42
2026-09-07T16:15,0.44
2026-09-07T16:25,0.46
2026-09-07T16:35,0.48
2026-09-07T16:45,0.51
2026-09-07T16:55,0.52
2026-09-07T17:05,0.53
2026-09-07T17:15,0.55
2026-09-07T17:25,0.56
2026-09-07T17:35,0.57
2026-09-07T17:45,0.59
2026-09-07T18:05,0.61
2026-09-07T18:15,0.63
2026-09-07T18:25,0.65
2026-09-07T18:35,0.66
2026-09-07T18:45,0.66
2026-09-07T19:05,0.68
2026-09-07T19:15,0.68
2026-09-07T19:25,0.68
2026-09-07T19:35,0.68
2026-09-07T19:45,0.68
2026-09-07T19:55,0.68
2026-09-07T20:05,0.68
2026-09-07T20:15,0.66
2026-09-07T20:25,0.65
2026-09-07T20:35,0.64
2026-09-07T20:45,0.62
2026-09-07T20:55,0.6
2026-09-07T21:05,0.58
2026-09-07T21:15,0.57
2026-09-07T21:25,0.55
2026-09-07T21:35,0.52
2026-09-07T21:45,0.49
2026-09-07T21:55,0.46
2026-09-07T22:05,0.43
2026-09-07T22:15,0.39
2026-09-07T22:25,0.36
2026-09-07T22:35,0.32
2026-09-07T22:45,0.29
2026-09-07T22:55,0.25
2026-09-07T23:05,0.22
2026-09-07T23:15,0.19
2026-09-07T23:25,0.15
2026-09-07T23:35,0.11
2026-09-07T23:45,0.08
2026-09-07T23:55,0.05
2026-09-08T00:15,-0.01
2026-09-08T00:25,-0.03
2026-09-08T00:35,-0.05
2026-09-08T00:45,-0.08
2026-09-08T00:55,-0.1
2026-09-08T01:05,-0.11
2026-09-08T01:15,-0.13
2026-09-08T01:25,-0.15
2026-09-08T01:35,-0.15
2026-09-08T01:45,-0.16
2026-09-08T01:55,-0.17
2026-09-08T02:05,-0.17
2026-09-08T02:15,-0.17
2026-09-08T02:25,-0.16
2026-09-08T02:35,-0.16
2026-09-08T02:45,-0.15
2026-09-08T03:05,-0.12
2026-09-08T03:15,-0.1
2026-09-08T03:25,-0.08
2026-09-08T03:35,-0.06
2026-09-08T03:45,-0.04
2026-09-08T03:55,-0.01
2026-09-08T04:05,0.01
2026-09-08T04:10,0.02
2026-09-08T04:35,0.11
2026-09-08T04:45,0.14
2026-09-08T05:05,0.21
2026-09-08T05:15,0.24
2026-09-08T05:25,0.28
2026-09-08T05:35,0.32
2026-09-08T05:45,0.35
2026-09-08T06:05,0.41
2026-09-08T06:15,0.45
2026-09-08T06:25,0.49
2026-09-08T06:35,0.52
2026-09-08T06:45,0.54
2026-09-08T06:55,0.56
2026-09-08T07:05,0.58
2026-09-08T07:15,0.59
2026-09-08T07:25,0.61
2026-09-08T07:35,0.63
2026-09-08T07:45,0.64
2026-09-08T07:55,0.65
2026-09-08T08:05,0.67
2026-09-08T08:15,0.68
2026-09-08T08:25,0.68
2026-09-08T08:35,0.69
2026-09-08T08:45,0.69
2026-09-08T09:05,0.68
2026-09-08T09:15,0.68
2026-09-08T09:25,0.67
2026-09-08T09:35,0.66
2026-09-08T09:45,0.64
2026-09-08T09:55,0.63
2026-09-08T10:05,0.62
2026-09-08T10:15,0.61
2026-09-08T10:25,0.59
2026-09-08T10:35,0.57
2026-09-08T10:45,0.56
2026-09-08T10:55,0.54
2026-09-08T11:05,0.52
2026-09-08T11:15,0.5
2026-09-08T11:25,0.47
2026-09-08T11:35,0.45
2026-09-08T11:45,0.43
2026-09-08T12:05,0.37
2026-09-08T12:15,0.35
2026-09-08T12:25,0.34
2026-09-08T12:35,0.32
2026-09-08T12:45,0.29
2026-09-08T12:55,0.28
2026-09-08T13:05,0.27
2026-09-08T13:15,0.26
2026-09-08T13:25,0.25
2026-09-08T13:35,0.23
2026-09-08T13:45,0.22
2026-09-08T13:55,0.23
2026-09-08T14:05,0.23
2026-09-08T14:15,0.23
2026-09-08T14:25,0.23
2026-09-08T14:35,0.24
2026-09-08T14:45,0.24
2026-09-08T14:55,0.25
2026-09-08T15:15,0.27
2026-09-08T15:25,0.28
2026-09-08T15:35,0.3
2026-09-08T15:45,0.32
2026-09-08T15:55,0.33
2026-09-08T16:05,0.34
2026-09-08T16:15,0.37
2026-09-08T16:25,0.39
2026-09-08T16:35,0.42
2026-09-08T16:45,0.45
2026-09-08T17:05,0.49
2026-09-08T17:15,0.52
2026-09-08T17:25,0.54
2026-09-08T17:35,0.56
2026-09-08T17:45,0.58
2026-09-08T18:05,0.62
2026-09-08T18:15,0.65
2026-09-08T18:35,0.68
2026-09-08T18:45,0.7
2026-09-08T18:55,0.71
2026-09-08T19:05,0.73
2026-09-08T19:25,0.76
2026-09-08T19:35,0.77
2026-09-08T19:45,0.77
2026-09-08T19:55,0.78
2026-09-08T20:05,0.77
2026-09-08T20:25,0.76
2026-09-08T20:35,0.75
2026-09-08T20:45,0.74
2026-09-08T20:55,0.74
2026-09-08T21:05,0.73
2026-09-08T21:15,0.71
2026-09-08T21:35,0.67
2026-09-08T21:45,0.64
2026-09-08T21:55,0.61
2026-09-08T22:05,0.59
2026-09-08T22:15,0.58
2026-09-08T22:35,0.52
2026-09-08T22:45,0.48
2026-09-08T23:05,0.4
2026-09-08T23:15,0.36
2026-09-08T23:25,0.32
2026-09-08T23:35,0.28
2026-09-08T23:45,0.25
2026-09-08T23:55,0.21
2026-09-09T00:15,0.14
2026-09-09T00:25,0.1
2026-09-09T00:35,0.06
2026-09-09T00:45,0.02
2026-09-09T01:15,-0.07
2026-09-09T01:25,-0.09
2026-09-09T01:35,-0.1
2026-09-09T01:45,-0.12
2026-09-09T02:05,-0.14
2026-09-09T02:15,-0.15
2026-09-09T02:25,-0.16
2026-09-09T02:35,-0.17
2026-09-09T02:45,-0.16
2026-09-09T03:05,-0.14
2026-09-09T03:15,-0.12
2026-09-09T03:25,-0.12
2026-09-09T03:35,-0.1
2026-09-09T03:45,-0.08
2026-09-09T03:55,-0.06
2026-09-09T04:05,-0.04
2026-09-09T04:10,-0.03
2026-09-09T04:25,0.0
2026-09-09T04:35,0.05
2026-09-09T04:45,0.09
2026-09-09T05:05,0.16
2026-09-09T05:15,0.2
2026-09-09T05:25,0.25
2026-09-09T05:35,0.29
2026-09-09T05:45,0.33
2026-09-09T05:55,0.36
2026-09-09T06:05,0.41
2026-09-09T06:15,0.46
2026-09-09T06:25,0.5
2026-09-09T06:35,0.54
2026-09-09T06:45,0.56
2026-09-09T06:55,0.61
2026-09-09T07:05,0.66
2026-09-09T07:15,0.7
2026-09-09T07:35,0.76
2026-09-09T07:45,0.76
2026-09-09T07:55,0.77
2026-09-09T08:05,0.81
2026-09-09T08:15,0.83
2026-09-09T08:25,0.82
2026-09-09T08:35,0.81
2026-09-09T08:45,0.79
2026-09-09T08:55,0.82
2026-09-09T09:05,0.83
2026-09-09T09:15,0.81
2026-09-09T09:25,0.78
2026-09-09T09:35,0.76
2026-09-09T09:45,0.77
2026-09-09T09:55,0.77
2026-09-09T10:05,0.78
2026-09-09T10:15,0.79
2026-09-09T10:25,0.73
2026-09-09T10:35,0.72
2026-09-09T10:45,0.72
2026-09-09T11:05,0.71
2026-09-09T11:15,0.69
2026-09-09T11:25,0.67
2026-09-09T11:35,0.62
2026-09-09T11:45,0.58
2026-09-09T11:55,0.53
2026-09-09T12:05,0.55
2026-09-09T12:15,0.54
2026-09-09T12:25,0.49
2026-09-09T12:35,0.39
2026-09-09T12:45,0.37
2026-09-09T12:55,0.34
2026-09-09T13:05,0.31
2026-09-09T13:15,0.24
2026-09-09T13:25,0.18
2026-09-09T13:35,0.22
2026-09-09T13:45,0.21
2026-09-09T13:55,0.21
2026-09-09T14:05,0.25
2026-09-09T14:15,0.21
2026-09-09T14:25,0.18
2026-09-09T14:35,0.19
2026-09-09T14:45,0.23
2026-09-09T15:05,0.24
2026-09-09T15:15,0.22
2026-09-09T15:25,0.23
2026-09-09T15:35,0.23
2026-09-09T15:45,0.26
2026-09-09T15:55,0.31
2026-09-09T16:05,0.32
2026-09-09T16:15,0.29
2026-09-09T16:25,0.3
2026-09-09T16:35,0.33
2026-09-09T16:45,0.37
2026-09-09T17:05,0.38
2026-09-09T17:15,0.4
2026-09-09T17:25,0.44
2026-09-09T17:35,0.43
2026-09-09T17:45,0.46
2026-09-09T17:55,0.49
2026-09-09T18:15,0.56
2026-09-09T18:25,0.59
2026-09-09T18:35,0.58
2026-09-09T18:45,0.6
2026-09-09T19:05,0.67
2026-09-09T19:15,0.72
2026-09-09T19:25,0.73
2026-09-09T19:35,0.72
2026-09-09T19:55,0.73
2026-09-09T20:05,0.75
2026-09-09T20:15,0.76
2026-09-09T20:25,0.76
2026-09-09T20:35,0.76
2026-09-09T20:45,0.76
2026-09-09T20:55,0.74
2026-09-09T21:05,0.75
2026-09-09T21:15,0.75
2026-09-09T21:25,0.74
2026-09-09T21:35,0.77
2026-09-09T21:45,0.75
2026-09-09T21:55,0.74
2026-09-09T22:05,0.76
2026-09-09T22:15,0.72
2026-09-09T22:35,0.63
2026-09-09T23:05,0.59
2026-09-09T23:35,0.43
2026-09-09T23:45,0.38
2026-09-10T00:15,0.27
2026-09-10T00:35,0.19
2026-09-10T00:45,0.12
2026-09-10T01:05,0.08
2026-09-10T01:15,0.06
2026-09-10T01:25,0.0
2026-09-10T01:35,-0.02
2026-09-10T01:45,-0.06
2026-09-10T02:05,-0.08
2026-09-10T02:15,-0.09
2026-09-10T02:25,-0.12
2026-09-10T02:35,-0.15
2026-09-10T02:45,-0.15
2026-09-10T03:05,-0.09
2026-09-10T03:15,-0.1
2026-09-10T03:25,-0.14
2026-09-10T03:35,-0.13
2026-09-10T03:45,-0.07
2026-09-10T03:55,-0.05
2026-09-10T04:05,-0.07
2026-09-10T04:10,-0.07
2026-09-10T04:25,-0.01
2026-09-10T04:35,0.06
2026-09-10T04:45,0.08
2026-09-10T05:05,0.1
2026-09-10T05:15,0.1
2026-09-10T05:25,0.18
2026-09-10T05:35,0.25
2026-09-10T05:45,0.29
2026-09-10T05:55,0.35
2026-09-10T06:05,0.4
2026-09-10T06:15,0.49
2026-09-10T06:25,0.55
2026-09-10T06:35,0.51
2026-09-10T06:45,0.54
2026-09-10T06:55,0.56
2026-09-10T07:05,0.58
2026-09-10T07:15,0.65
2026-09-10T07:25,0.68
2026-09-10T07:35,0.67
2026-09-10T07:45,0.71
2026-09-10T07:55,0.78
2026-09-10T08:05,0.85
2026-09-10T08:15,0.9
2026-09-10T08:25,0.9
2026-09-10T08:35,0.88
2026-09-10T08:45,0.88
2026-09-10T08:50,0.91
2026-09-10T14:05,0.42
2026-09-10T14:15,0.38
2026-09-10T14:25,0.35
2026-09-10T14:35,0.3
2026-09-10T14:45,0.28
2026-09-10T15:05,0.33
2026-09-10T15:15,0.36
2026-09-10T15:25,0.37
2026-09-10T15:35,0.35
2026-09-10T15:45,0.29
2026-09-10T15:55,0.25
2026-09-10T16:05,0.3
2026-09-10T16:15,0.31
2026-09-10T16:25,0.36
2026-09-10T16:35,0.4
2026-09-10T16:45,0.36
2026-09-10T17:05,0.33
2026-09-10T17:15,0.35
2026-09-10T17:25,0.37
2026-09-10T17:35,0.41
2026-09-10T17:45,0.42
2026-09-10T18:05,0.45
2026-09-10T18:15,0.55
2026-09-10T18:25,0.57
2026-09-10T18:35,0.53
2026-09-10T18:45,0.48
2026-09-10T18:55,0.47
2026-09-10T19:05,0.5
2026-09-10T19:15,0.56
2026-09-10T19:25,0.57
2026-09-10T19:35,0.59
2026-09-10T19:45,0.65
2026-09-10T19:55,0.62
2026-09-10T20:05,0.66
2026-09-10T20:15,0.66
2026-09-10T20:25,0.67
2026-09-10T20:35,0.7
2026-09-10T20:45,0.75
2026-09-10T20:55,0.76
2026-09-10T21:05,0.76
2026-09-10T21:15,0.75
2026-09-10T21:25,0.73
2026-09-10T21:35,0.74
2026-09-10T21:45,0.73
2026-09-10T21:55,0.68
2026-09-10T22:05,0.71
2026-09-10T22:15,0.75
2026-09-10T22:25,0.73
2026-09-10T22:35,0.78
2026-09-10T22:45,0.7
2026-09-10T22:55,0.6
2026-09-10T23:00,0.56
2026-09-11T05:25,0.09
2026-09-11T05:35,0.1
2026-09-11T05:45,0.13
2026-09-11T05:55,0.21
2026-09-11T06:05,0.24
2026-09-11T06:15,0.26
2026-09-11T06:25,0.32
2026-09-11T06:35,0.36
2026-09-11T06:45,0.4
2026-09-11T06:55,0.43
2026-09-11T07:15,0.47
2026-09-11T07:25,0.51
2026-09-11T07:35,0.55
2026-09-11T07:45,0.58
2026-09-11T07:55,0.63
2026-09-11T08:05,0.63
2026-09-11T08:15,0.68
2026-09-11T08:25,0.74
2026-09-11T08:35,0.77
2026-09-11T08:45,0.81
2026-09-11T08:55,0.84
2026-09-11T09:05,0.84
2026-09-11T09:15,0.87
2026-09-11T09:35,0.92
2026-09-11T09:45,0.9
2026-09-11T09:55,0.89
2026-09-11T10:05,0.9
2026-09-11T10:15,0.91
2026-09-11T10:25,0.92
2026-09-11T10:35,0.91
2026-09-11T10:45,0.87
2026-09-11T11:00,0.84
2026-09-12T05:45,0.05
2026-09-12T05:55,0.08
2026-09-12T06:05,0.12
2026-09-12T06:15,0.13
